CBSAFP,Year,AsOfDate,dockCt,docklessCt,scooterCt,Lat,Lon,Unnamed: 16
19740,2018,807248,87,0,4,158.9380979999999,-419.80132099999804,0.0
19740,2019,807648,87,0,3,158.9380979999999,-419.80132099999804,0.0
19780,2015,201512,6,0,0,41.6005449999999,-93.6091059999999,0.0
19780,2016,201612,12,0,0,41.6005449999999,-93.6091059999999,0.0
19780,2017,201712,21,0,0,41.6005449999999,-93.6091059999999,0.0
19780,2018,201812,22,0,0,41.6005449999999,-93.6091059999999,0.0
19780,2019,201912,22,0,0,41.6005449999999,-93.6091059999999,0.0
19820,2015,403024,0,0,0,84.6536869999999,-166.222069,0.0
19820,2016,403224,0,0,0,84.6536869999999,-166.222069,0.0
19820,2017,403424,53,0,0,84.6536869999999,-166.222069,0.0
19820,2018,403624,58,0,1,84.6536869999999,-166.222069,0.0
19820,2019,403824,58,0,1,84.6536869999999,-166.222069,0.0
20260,2015,201512,0,0,0,46.706881,-92.085256,0.0
20260,2016,201612,0,0,0,46.706881,-92.085256,0.0
20260,2017,201712,0,0,0,46.706881,-92.085256,0.0
20260,2018,201812,4,0,0,46.706881,-92.085256,0.0
20260,2019,201912,4,0,0,46.706881,-92.085256,0.0
20500,2015,201512,0,0,0,35.994033,-78.8986189999999,0.0
20500,2016,201612,0,0,0,35.994033,-78.8986189999999,0.0
20500,2017,201712,0,2,0,35.994033,-78.8986189999999,0.0
20500,2018,201812,0,1,1,35.994033,-78.8986189999999,0.0
20500,2019,201912,0,1,3,35.994033,-78.8986189999999,0.0
21140,2015,201512,0,0,0,41.681994,-85.976667,0.0
21140,2016,201612,0,0,0,41.681994,-85.976667,0.0
21140,2017,201712,0,0,0,41.681994,-85.976667,0.0
21140,2018,201812,0,0,1,41.681994,-85.976667,0.0
21140,2019,201912,0,0,1,41.681994,-85.976667,0.0
21340,2015,201512,8,0,0,31.777576,-106.442456,0.0
21340,2016,201612,15,0,0,31.777576,-106.442456,0.0
21340,2017,201712,16,0,0,31.777576,-106.442456,0.0
21340,2018,201812,16,0,0,31.777576,-106.442456,0.0
21340,2019,201912,16,0,0,31.777576,-106.442456,0.0
21660,2015,201512,0,0,0,44.052069,-123.086753999999,0.0
21660,2016,201612,0,0,0,44.052069,-123.086753999999,0.0
21660,2017,201712,0,0,0,44.052069,-123.086753999999,0.0
21660,2018,201812,39,0,0,44.052069,-123.086753999999,0.0
21660,2019,201912,39,0,0,44.052069,-123.086753999999,0.0
22020,2015,201512,11,0,0,46.877186,-96.789803,0.0
22020,2016,201612,11,0,0,46.877186,-96.789803,0.0
22020,2017,201712,11,0,0,46.877186,-96.789803,0.0
22020,2018,201812,11,0,0,46.877186,-96.789803,0.0
22020,2019,201912,11,0,0,46.877186,-96.789803,0.0
22220,2015,201512,0,0,0,36.0901539999999,-94.16706,0.0
22220,2016,201612,0,0,0,36.0901539999999,-94.16706,0.0
22220,2017,201712,0,0,0,36.0901539999999,-94.16706,0.0
22220,2018,201812,0,1,0,36.0901539999999,-94.16706,0.0
22220,2019,201912,0,1,0,36.0901539999999,-94.16706,0.0
22380,2015,201512,0,0,0,35.198284,-111.651302,0.0
22380,2016,201612,0,0,0,35.198284,-111.651302,0.0
22380,2017,201712,0,1,0,35.198284,-111.651302,0.0
22380,2018,201812,0,0,1,35.198284,-111.651302,0.0
22380,2019,201912,0,0,0,35.198284,-111.651302,0.0
22660,2015,201512,0,0,0,40.5852599999999,-105.084423,0.0
22660,2016,201612,20,0,0,40.5852599999999,-105.084423,0.0
22660,2017,201712,20,0,0,40.5852599999999,-105.084423,0.0
22660,2018,201812,0,0,0,40.5852599999999,-105.084423,0.0
22660,2019,201912,0,0,0,40.5852599999999,-105.084423,0.0
23060,2015,403024,0,0,0,82.17059900000001,-170.277216,0.0
23060,2016,403224,6,0,0,82.17059900000001,-170.277216,0.0
23060,2017,403424,6,0,0,82.17059900000001,-170.277216,0.0
23060,2018,403624,0,0,0,82.17059900000001,-170.277216,0.0
23060,2019,403824,0,1,1,82.17059900000001,-170.277216,0.0
23540,2015,201512,0,0,0,29.651634,-82.324826,0.0
23540,2016,201612,4,0,0,29.651634,-82.324826,0.0
23540,2017,201712,4,0,0,29.651634,-82.324826,0.0
23540,2018,201812,0,0,0,29.651634,-82.324826,0.0
23540,2019,201912,0,0,0,29.651634,-82.324826,0.0
24060,2015,201512,14,0,0,39.194951,-106.837001999999,0.0
24060,2016,201612,43,0,0,39.194951,-106.837001999999,0.0
24060,2017,201712,50,0,0,39.194951,-106.837001999999,0.0
24060,2018,201812,43,0,0,39.194951,-106.837001999999,0.0
24060,2019,201912,43,0,0,39.194951,-106.837001999999,0.0
24660,2015,201512,0,0,0,36.0726349999999,-79.7919749999999,0.0
24660,2016,201612,0,0,0,36.0726349999999,-79.7919749999999,0.0
24660,2017,201712,0,1,0,36.0726349999999,-79.7919749999999,0.0
24660,2018,201812,0,1,2,36.0726349999999,-79.7919749999999,0.0
24660,2019,201912,0,1,1,36.0726349999999,-79.7919749999999,0.0
24860,2015,201512,8,0,0,34.852618,-82.3940099999999,0.0
24860,2016,201612,9,0,0,34.852618,-82.3940099999999,0.0
24860,2017,201712,10,0,0,34.852618,-82.3940099999999,0.0
24860,2018,201812,9,0,0,34.852618,-82.3940099999999,0.0
24860,2019,201912,9,0,0,34.852618,-82.3940099999999,0.0
25200,2015,201512,45,0,0,43.515,-114.306388999999,0.0
25200,2016,201612,49,0,0,43.515,-114.306388999999,0.0
25200,2017,201712,52,0,0,43.515,-114.306388999999,0.0
25200,2018,201812,52,0,0,43.515,-114.306388999999,0.0
25200,2019,201912,0,0,0,43.515,-114.306388999999,0.0
25420,2015,201512,0,0,0,40.2731909999999,-76.886701,0.0
25420,2016,201612,0,0,0,40.2731909999999,-76.886701,0.0
25420,2017,201712,11,0,0,40.2731909999999,-76.886701,0.0
25420,2018,201812,11,0,0,40.2731909999999,-76.886701,0.0
25420,2019,201912,11,0,0,40.2731909999999,-76.886701,0.0
25500,2015,201512,0,0,0,38.4495689999999,-78.8689159999999,0.0
25500,2016,201612,0,0,0,38.4495689999999,-78.8689159999999,0.0
25500,2017,201712,0,0,0,38.4495689999999,-78.8689159999999,0.0
25500,2018,201812,0,0,2,38.4495689999999,-78.8689159999999,0.0
25500,2019,201912,0,0,4,38.4495689999999,-78.8689159999999,0.0
26420,2015,403024,29,0,0,59.9379269999999,-190.873692,0.0
26420,2016,403224,43,0,0,59.9379269999999,-190.873692,0.0
26420,2017,403424,60,1,0,59.9379269999999,-190.873692,0.0
26420,2018,403624,88,0,0,59.9379269999999,-190.873692,0.0
26420,2019,403824,88,0,0,59.9379269999999,-190.873692,0.0
26620,2015,201512,0,0,0,34.730369,-86.586104,0.0
26620,2016,201612,0,0,0,34.730369,-86.586104,0.0
26620,2017,201712,8,0,0,34.730369,-86.586104,0.0
26620,2018,201812,11,0,0,34.730369,-86.586104,0.0
26620,2019,201912,11,0,0,34.730369,-86.586104,0.0
26900,2015,403024,36,0,0,79.7467739999999,-172.2761119999999,0.0
26900,2016,403224,41,0,0,79.7467739999999,-172.2761119999999,0.0
26900,2017,403424,42,0,0,79.7467739999999,-172.2761119999999,0.0
26900,2018,403624,43,0,2,79.7467739999999,-172.2761119999999,0.0
26900,2019,403824,43,0,1,79.7467739999999,-172.2761119999999,0.0
27060,2015,201512,0,0,0,42.443333,-76.5,0.0
27060,2016,201612,0,0,0,42.443333,-76.5,0.0
27060,2017,201712,0,0,0,42.443333,-76.5,0.0
27060,2018,201812,0,0,0,42.443333,-76.5,0.0
27060,2019,201912,0,0,1,42.443333,-76.5,0.0
27220,2015,201512,0,0,0,43.475278,-110.769166999999,0.0
27220,2016,201612,0,0,0,43.475278,-110.769166999999,0.0
27220,2017,201712,0,0,0,43.475278,-110.769166999999,0.0
27220,2018,201812,17,0,0,43.475278,-110.769166999999,0.0
27220,2019,201912,17,0,0,43.475278,-110.769166999999,0.0
27540,2015,201512,1,0,0,38.296944,-86.9544439999999,0.0
27540,2016,201612,1,0,0,38.296944,-86.9544439999999,0.0
27540,2017,201712,0,0,0,38.296944,-86.9544439999999,0.0
27540,2018,201812,0,0,0,38.296944,-86.9544439999999,0.0
