,CBSA,MNAME,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,APTA_CLUSTER,Proposed TNC Groups
230,35980,"Norwich-New London, CT Metro Area",2017,269033,2/1/15,2015,2016,1,Low Op-Ex,22
231,36100,"Ocala, FL Metro Area",2017,354353,9/1/15,2015,2016,1,Low Op-Ex,22
232,36140,"Ocean City, NJ Metro Area",2017,93553,5/1/15,2015,2016,1,Low Op-Ex,22
233,36220,"Odessa, TX Metro Area",2017,157087,10/1/15,2015,2016,1,Low Op-Ex,22
234,44700,"Stockton-Lodi, CA Metro Area",2017,745424,9/1/14,2014,2015,1,Mid Op-Ex,21
235,10420,"Akron, OH Metro Area",2017,703505,12/1/14,2014,2015,1,Mid Op-Ex,21
236,36260,"Ogden-Clearfield, UT Metro Area",2017,666547,3/1/15,2015,2016,1,Mid Op-Ex,21
237,36540,"Omaha-Council Bluffs, NE-IA Metro Area",2017,934184,6/1/14,2014,2015,1,Low Op-Ex,22
238,45060,"Syracuse, NY Metro Area",2017,654841,6/1/17,2017,2018,0,Mid Op-Ex,21
239,36780,"Oshkosh-Neenah, WI Metro Area",2017,170414,11/1/15,2015,2016,1,Low Op-Ex,22
240,31540,"Madison, WI Metro Area",2017,654230,3/1/14,2014,2015,1,Mid Op-Ex,21
241,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",2017,589162,12/1/14,2014,2015,1,Low Op-Ex,22
242,37460,"Panama City, FL Metro Area",2017,202236,3/1/17,2017,2018,0,Low Op-Ex,22
243,37620,"Parkersburg-Vienna, WV Metro Area",2017,90424,9/1/18,2018,2019,0,Low Op-Ex,22
244,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",2017,487784,1/1/15,2015,2016,1,Low Op-Ex,22
245,37900,"Peoria, IL Metro Area",2017,373637,11/1/15,2015,2016,1,Low Op-Ex,22
246,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2017,6096120,5/1/12,2012,2013,1,High Op-Ex,7
