,CBSA,MNAME_x,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,_merge,MNAME_y,Proposed TNC Groups,TNC_TRIPS_PER_PERSON,TRIP_SHARE_2017
73,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2014,4732161,10/1/11,2011,2012,1,both,"Boston-Cambridge-Newton, MA-NH Metro Area",5.0,9.1,0.58
74,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2015,4774321,10/1/11,2011,2012,1,both,"Boston-Cambridge-Newton, MA-NH Metro Area",5.0,9.1,0.58
75,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2016,4794447,10/1/11,2011,2012,1,both,"Boston-Cambridge-Newton, MA-NH Metro Area",5.0,9.1,0.58
76,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2017,4836531,10/1/11,2011,2012,1,both,"Boston-Cambridge-Newton, MA-NH Metro Area",5.0,9.1,0.58
77,14500,"Boulder, CO Metro Area",2015,319372,2/1/14,2014,2015,1,both,"Boulder, CO Metro Area",21.0,4.4,0.198
78,14500,"Boulder, CO Metro Area",2016,322226,2/1/14,2014,2015,1,both,"Boulder, CO Metro Area",21.0,4.4,0.198
79,14500,"Boulder, CO Metro Area",2017,322514,2/1/14,2014,2015,1,both,"Boulder, CO Metro Area",21.0,4.4,0.198
80,14540,"Bowling Green, KY Metro Area",2016,174560,9/1/15,2015,2016,1,both,"Bowling Green, KY Metro Area",22.0,2.3,0.198
81,14540,"Bowling Green, KY Metro Area",2017,178474,9/1/15,2015,2016,1,both,"Bowling Green, KY Metro Area",22.0,2.3,0.198
82,14740,"Bremerton-Silverdale, WA Metro Area",2017,266414,5/1/16,2016,2017,1,both,"Bremerton-Silverdale, WA Metro Area",21.0,4.4,0.198
83,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2015,948053,4/1/14,2014,2015,1,both,"Bridgeport-Stamford-Norwalk, CT Metro Area",21.0,4.4,0.198
84,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2016,944177,4/1/14,2014,2015,1,both,"Bridgeport-Stamford-Norwalk, CT Metro Area",21.0,4.4,0.198
85,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2017,949921,4/1/14,2014,2015,1,both,"Bridgeport-Stamford-Norwalk, CT Metro Area",21.0,4.4,0.198
86,15260,"Brunswick, GA Metro Area",2017,114473,3/1/16,2016,2017,1,left_only,,,,
87,15500,"Burlington, NC Metro Area",2016,159688,8/1/15,2015,2016,1,both,"Burlington, NC Metro Area",22.0,2.3,0.198
88,15500,"Burlington, NC Metro Area",2017,162391,8/1/15,2015,2016,1,both,"Burlington, NC Metro Area",22.0,2.3,0.198
89,15540,"Burlington-South Burlington, VT Metro Area",2015,216661,11/1/14,2014,2015,1,both,"Burlington-South Burlington, VT Metro Area",22.0,2.3,0.198
90,15540,"Burlington-South Burlington, VT Metro Area",2016,217411,11/1/14,2014,2015,1,both,"Burlington-South Burlington, VT Metro Area",22.0,2.3,0.198
91,15540,"Burlington-South Burlington, VT Metro Area",2017,218341,11/1/14,2014,2015,1,both,"Burlington-South Burlington, VT Metro Area",22.0,2.3,0.198
92,15680,"California-Lexington Park, MD Metro Area",2017,112667,6/1/16,2016,2017,1,left_only,,,,
93,15940,"Canton-Massillon, OH Metro Area",2016,401281,5/1/15,2015,2016,1,both,"Canton-Massillon, OH Metro Area",22.0,2.3,0.198
94,15940,"Canton-Massillon, OH Metro Area",2017,399927,5/1/15,2015,2016,1,both,"Canton-Massillon, OH Metro Area",22.0,2.3,0.198
95,15980,"Cape Coral-Fort Myers, FL Metro Area",2015,701982,12/1/14,2014,2015,1,both,"Cape Coral-Fort Myers, FL Metro Area",22.0,2.3,0.198
96,15980,"Cape Coral-Fort Myers, FL Metro Area",2016,722336,12/1/14,2014,2015,1,both,"Cape Coral-Fort Myers, FL Metro Area",22.0,2.3,0.198
97,15980,"Cape Coral-Fort Myers, FL Metro Area",2017,739224,12/1/14,2014,2015,1,both,"Cape Coral-Fort Myers, FL Metro Area",22.0,2.3,0.198
98,16180,"Carson City, NV Metro Area",2017,54745,8/1/16,2016,2017,1,both,"Carson City, NV Metro Area",22.0,2.3,0.198
99,16300,"Cedar Rapids, IA Metro Area",2016,267799,1/1/15,2015,2016,1,both,"Cedar Rapids, IA Metro Area",22.0,2.3,0.198
100,16300,"Cedar Rapids, IA Metro Area",2017,270293,1/1/15,2015,2016,1,both,"Cedar Rapids, IA Metro Area",22.0,2.3,0.198
101,16580,"Champaign-Urbana, IL Metro Area",2016,239872,2/1/15,2015,2016,1,both,"Champaign-Urbana, IL Metro Area",21.0,4.4,0.198
102,16580,"Champaign-Urbana, IL Metro Area",2017,241000,2/1/15,2015,2016,1,both,"Champaign-Urbana, IL Metro Area",21.0,4.4,0.198
103,16620,"Charleston, WV Metro Area",2017,215089,7/1/16,2016,2017,1,both,"Charleston, WV Metro Area",22.0,2.3,0.198
