,CBSA,MNAME,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,APTA_CLUSTER,TNC_CLUSTER
174,31540,"Madison, WI Metro Area",2017,654230,3/1/14,2014,2015,1,Mid Op-Ex,
175,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",2017,589162,12/1/14,2014,2015,1,Low Op-Ex,
176,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",2017,487784,1/1/15,2015,2016,1,Low Op-Ex,
177,37900,"Peoria, IL Metro Area",2017,373637,11/1/15,2015,2016,1,Low Op-Ex,
178,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2017,6096120,5/1/12,2012,2013,1,High Op-Ex,7.0
179,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",2017,4737270,11/1/12,2012,2013,1,High Op-Ex,16.0
180,38300,"Pittsburgh, PA Metro Area",2017,2333367,2/1/14,2014,2015,1,High Op-Ex,13.0
181,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2017,649202,12/1/14,2014,2015,1,Mid Op-Ex,
182,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2017,2451560,8/1/14,2014,2015,1,High Op-Ex,12.0
183,38940,"Port St. Lucie, FL Metro Area",2017,473429,3/1/15,2015,2016,1,Low Op-Ex,
184,39140,"Prescott, AZ Metro Area",2017,228168,4/1/16,2016,2017,1,,
185,44140,"Springfield, MA Metro Area",2017,631652,1/1/15,2015,2016,1,Mid Op-Ex,
186,39340,"Provo-Orem, UT Metro Area",2017,617678,4/1/15,2015,2016,1,Mid Op-Ex,
187,39380,"Pueblo, CO Metro Area",2017,166475,9/1/16,2016,2017,1,Low Op-Ex,
188,39460,"Punta Gorda, FL Metro Area",2017,182033,10/1/15,2015,2016,1,Low Op-Ex,
189,39540,"Racine, WI Metro Area",2017,196071,11/1/15,2015,2016,1,Low Op-Ex,
190,25420,"Harrisburg-Carlisle, PA Metro Area",2017,571903,2/1/15,2015,2016,1,Mid Op-Ex,
191,39740,"Reading, PA Metro Area",2017,417854,5/1/15,2015,2016,1,Low Op-Ex,
192,39820,"Redding, CA Metro Area",2017,179921,3/1/16,2016,2017,1,Low Op-Ex,
193,20500,"Durham-Chapel Hill, NC Metro Area",2017,567428,6/1/14,2014,2015,1,Mid Op-Ex,
194,44060,"Spokane-Spokane Valley, WA Metro Area",2017,564291,6/1/14,2014,2015,1,Mid Op-Ex,
195,29540,"Lancaster, PA Metro Area",2017,542903,4/1/15,2015,2016,1,Mid Op-Ex,
196,40220,"Roanoke, VA Metro Area",2017,312688,11/1/14,2014,2015,1,Low Op-Ex,
197,38860,"Portland-South Portland, ME Metro Area",2017,532083,10/1/14,2014,2015,1,Mid Op-Ex,
198,40420,"Rockford, IL Metro Area",2017,338291,3/1/15,2015,2016,1,Low Op-Ex,
199,29620,"Lansing-East Lansing, MI Metro Area",2017,477656,8/1/14,2014,2015,1,Mid Op-Ex,
200,41100,"St. George, UT Metro Area",2017,165662,7/1/16,2016,2017,1,Low Op-Ex,
201,39900,"Reno, NV Metro Area",2017,465208,9/1/15,2015,2016,1,Mid Op-Ex,
202,42060,"Santa Maria-Santa Barbara, CA Metro Area",2017,448150,10/1/13,2013,2014,1,Mid Op-Ex,
203,41540,"Salisbury, MD-DE Metro Area",2017,405853,5/1/15,2015,2016,1,Low Op-Ex,
204,41500,"Salinas, CA Metro Area",2017,437907,8/1/14,2014,2015,1,Mid Op-Ex,
205,41740,"San Diego-Carlsbad, CA Metro Area",2017,3337685,5/1/12,2012,2013,1,High Op-Ex,10.0
206,41860,"San Francisco-Oakland-Hayward, CA Metro Area",2017,4727357,10/1/10,2010,2011,1,High Op-Ex,2.0
207,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",2017,1998463,5/1/12,2012,2013,1,High Op-Ex,6.0
208,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",2017,283405,7/1/14,2014,2015,1,Low Op-Ex,
209,42140,"Santa Fe, NM Metro Area",2017,148750,3/1/15,2015,2016,1,Low Op-Ex,
