CBSA,MNAME,Year,Tot_Pop,TNC_CLUSTER,TOT_POP_CLUSTER,TOTAL_YEARLY_POPULATION,POP_SHARE,TOTAL_TRIPS_PER_CAPITA,TNC_TRIPS_SCALED,TOTAL_TNC_TRIPS_PER_CLUSTER,TRIPS_SCALED,Scale_2,TNC_TRIPS,TNC_TRIPS_PER_CAPITA_CLUSTER
12700,"Barnstable Town, MA Metro Area",2016,214276,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
13820,"Birmingham-Hoover, AL Metro Area",2016,1147417,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
14740,"Bremerton-Silverdale, WA Metro Area",2016,264811,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2016,944177,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
16580,"Champaign-Urbana, IL Metro Area",2016,239872,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",2016,2474314,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2016,2161441,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
17460,"Cleveland-Elyria-Mentor, OH Metro Area",2016,2055612,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
18140,"Columbus, OH Metro Area",2016,2041520,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
19380,"Dayton, OH Metro Area",2016,800683,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2016,637674,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
19820,"Detroit-Warren-Livonia, MI Metro Area",2016,4297617,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
20500,"Durham-Chapel Hill, NC Metro Area",2016,559535,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
21340,"El Paso, TX Metro Area",2016,842114,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
23420,"Fresno, CA Metro Area",2016,979915,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
24340,"Grand Rapids-Wyoming, MI Metro Area",2016,1047099,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
25420,"Harrisburg-Carlisle, PA Metro Area",2016,568033,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",2016,1206836,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
26900,"Indianapolis-Carmel, IN Metro Area",2016,2001737,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
27260,"Jacksonville, FL Metro Area",2016,1478212,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
28140,"Kansas City, MO-KS Metro Area",2016,2104115,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
28420,"Kennewick-Pasco-Richland, WA Metro Area",2016,283846,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
29540,"Lancaster, PA Metro Area",2016,538500,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
29620,"Lansing-East Lansing, MI Metro Area",2016,475099,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
29820,"Las Vegas-Paradise, NV Metro Area",2016,2155664,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
31140,"Louisville, Jefferson County, KY-IN Metro Area",2016,1283297,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
31540,"Madison, WI Metro Area",2016,648929,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
32820,"Memphis, TN-MS-AR Metro Area",2016,1346437,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
