,CBSA,MNAME,Year,Tot_Pop,TNC_CLUSTER,TOT_POP_CLUSTER,TOTAL_YEARLY_POPULATION,POP_SHARE,TNC_TRIPS_PER_CAPITA,TNC_TRIPS_SCALED,TOTAL_TNC_TRIPS_PER_CLUSTER,_merge
113,41700,"San Antonio-New Braunfels, TX Metro Area",2015,2381828.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
114,42060,"Santa Barbara-Santa Maria-Goleta, CA Metro Area",2015,,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
115,42100,"Santa Cruz-Watsonville, CA Metro Area",2015,274146.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
116,44060,"Spokane, WA Metro Area",2015,546807.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
117,44140,"Springfield, MA Metro Area",2015,631982.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
118,41180,"St. Louis, MO-IL Metro Area",2015,2812313.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
119,44700,"Stockton, CA Metro Area",2015,726106.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
120,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2015,2975225.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
121,46060,"Tucson, AZ Metro Area",2015,1010025.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
122,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",2015,1723351.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
123,49340,"Worcester, MA Metro Area",2015,935536.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
124,10420,"Akron, OH Metro Area",2016,702221.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
125,10740,"Albuquerque, NM Metro Area",2016,913924.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
126,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2016,835652.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
127,11460,"Ann Arbor, MI Metro Area",2016,364709.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
128,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2016,2056405.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
129,12700,"Barnstable Town, MA Metro Area",2016,214276.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
130,13820,"Birmingham-Hoover, AL Metro Area",2016,1147417.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
131,14740,"Bremerton-Silverdale, WA Metro Area",2016,264811.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
132,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2016,944177.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
133,16580,"Champaign-Urbana, IL Metro Area",2016,239872.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
134,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",2016,2474314.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
135,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2016,2161441.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
136,17460,"Cleveland-Elyria-Mentor, OH Metro Area",2016,2055612.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
137,18140,"Columbus, OH Metro Area",2016,2041520.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
138,19380,"Dayton, OH Metro Area",2016,800683.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
139,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2016,637674.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
140,19820,"Detroit-Warren-Livonia, MI Metro Area",2016,4297617.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
141,20500,"Durham-Chapel Hill, NC Metro Area",2016,559535.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
142,21340,"El Paso, TX Metro Area",2016,842114.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
143,23420,"Fresno, CA Metro Area",2016,979915.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
144,24340,"Grand Rapids-Wyoming, MI Metro Area",2016,1047099.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
145,25420,"Harrisburg-Carlisle, PA Metro Area",2016,568033.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
146,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",2016,1206836.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
147,26900,"Indianapolis-Carmel, IN Metro Area",2016,2001737.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
148,27260,"Jacksonville, FL Metro Area",2016,1478212.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
149,28140,"Kansas City, MO-KS Metro Area",2016,2104115.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
150,28420,"Kennewick-Pasco-Richland, WA Metro Area",2016,283846.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
151,29540,"Lancaster, PA Metro Area",2016,538500.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
152,29620,"Lansing-East Lansing, MI Metro Area",2016,475099.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
153,29820,"Las Vegas-Paradise, NV Metro Area",2016,2155664.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
154,31140,"Louisville, Jefferson County, KY-IN Metro Area",2016,1283297.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
155,31540,"Madison, WI Metro Area",2016,648929.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
