CLUSTER_APTA,RAIL_FLAG,Year,CLUSTER_GT,CLUSTER_APTA_HML,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT,POP_EMP,GasPrice,PCT_HH_NO_VEH,TSD_POP_PCT,VRM_ADJ_log_FAC,FARE_per_UPT_log_FAC,POP_EMP_log_FAC,GasPrice_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,Total_FAC,VRM_ADJ_log_FAC_scaled,FARE_per_UPT_log_FAC_scaled,POP_EMP_log_FAC_scaled,GasPrice_log_FAC_scaled,PCT_HH_NO_VEH_FAC_scaled,TSD_POP_PCT_FAC_scaled,Total_FAC_scaled
24,0,2004,50,50,189197937.7618001,200751831.462,6074804.700199941,186631078.8459061,6804180.622306815,8936811.854048321,0.7043108375152854,2310759.107172402,1.844754250693136,6.498725061378871,0.16757806020547358,-7608347.771407358,431984.80492433975,6647830.403846337,7511822.271067785,124464.96658227518,-637158.6449383204,6470596.030075092,-7883244.633247293,1835342.2453422158,6311437.47464149,7075819.324912869,59222.21291623859,-594396.0022587308,6243564.675602265
24,0,2005,50,50,200751831.462,207467178.57200003,6715347.110000057,206387103.99037144,19756025.14446535,9254195.322294144,0.7335307433162538,2306902.140595077,2.284651365130617,6.502765212225797,0.15831231450313374,18535553.579311796,-4425898.495095732,7031708.049751945,10221745.941476665,155185.65942778415,-621775.3183689092,30896519.416503318,9135960.839069894,-6202284.596725494,7125693.706491911,10174891.631239772,152433.41117532813,-630669.8467858619,19081340.90111813
24,0,2006,50,50,207467178.57200003,214988345.51500008,7521166.943000076,223669992.78455734,17282888.794185862,9283757.840491153,0.7408329473893145,2398963.826980108,2.5792872356889043,6.583341826072116,0.1488132370165782,421318.2230488336,1801562.4255993953,8656614.542866208,6342705.632927756,284356.2416920305,-663555.7978327239,16843001.268301602,675624.5768680942,-230895.45658234617,10185880.465581708,7348732.626865333,231011.70055113165,-927465.1190981325,14322742.114689915
24,0,2007,50,50,214988345.51500008,219367575.91999993,4379230.40499981,223707174.33273092,37181.54817358265,9352101.527501222,0.7957297482094313,2430974.800223223,2.812688374380973,6.408744905193427,0.14213351704722846,1490587.0779998868,-6855517.481563966,3963618.441069089,4827848.251751639,-310062.1894634357,-386834.18732130836,2729639.912472038,13017062.422758115,-36641540.72848835,8473431.487267079,15288356.987684375,911368.9992014205,-1011497.6202491702,-15917701.778421046
24,0,2008,50,50,219367575.91999993,230246612.48600003,10879036.566000111,231133161.41488102,7425987.082150127,9691683.942108983,0.843644240138203,2465652.3776740385,3.2771445061737454,6.450892163543721,0.13663849239245432,1440017.7490849346,-4574152.897129131,1786322.733001627,9081086.958586201,160055.3309938273,-349124.15085688414,7544205.723680662,1172598.9050585518,-4588897.9545236,1784588.7220080877,9340203.407550836,63735.8154553323,-346241.8133991886,7077745.990239307
24,0,2009,50,50,230246612.48600003,212989285.1060001,-17257327.379999965,202736248.2322623,-28396913.182618678,9401241.385740375,0.9235824693766275,2454746.4131291555,2.3597668739105857,6.664384289498902,0.13212901822892945,-1414417.0232693097,-8465284.892347595,-888194.6927445142,-18791889.9520741,660983.1347102528,-386894.67755497096,-29285698.10328042,-1617405.4218334826,-8012021.670465967,-871622.2928802388,-18167896.844467934,647320.8250570304,-375287.7780278953,-28763675.687467556
24,0,2010,50,50,212989285.1060001,219991377.06300002,4013352.7419999503,219449360.18163645,13129125.767335426,9306700.369802393,0.9087115290586961,2473451.519292918,2.7974837909620036,6.698732380383519,0.1281429170585645,-357465.9927828106,1555039.292829353,3248407.581175023,9406318.113043059,113346.06675193866,-329006.75523652456,13636638.30577968,963108.1838281458,963796.4348780782,2919390.442174862,8566557.03436583,21699.49289765201,-305425.8208088188,12767739.526392017
24,0,2011,50,50,219991377.06300002,233361190.14100006,13369813.078000018,233390960.89243722,13941600.710800786,9233746.501793135,0.9220786115720873,2492820.028465039,3.5389563654545677,6.936520113769455,0.12229199801461055,-424610.7893269212,-3322173.410167078,2956761.119219936,14286597.1687061,694130.0775000519,-316325.6834252158,13874378.482507125,-473066.38595539064,-3942068.717238576,3083244.939723368,14813597.987373196,777612.4231782785,-317719.53628039546,13616504.100667393
24,0,2012,50,50,233361190.14100006,232782192.26199993,-578997.8790001106,225349988.96517238,-8040971.92726481,9317852.573709473,1.022053744162739,2540832.362527347,3.630266565081805,6.905682807667369,0.12132389947715168,-1078980.6801144024,-11714500.898166206,3734167.495711194,1646083.3594356733,-16755.555519005764,-28977.331681244,-7458963.610333946,-1287148.0190396667,-12169386.842674995,3714745.9473415874,1691230.3628365633,39884.07653119713,-30297.452259519167,-8072535.334994702
24,0,2013,50,50,232782192.26199993,233394398.51200008,612206.2500001416,230018584.33402056,4668595.368848152,9573649.327887649,1.0433557063475962,2659493.569110078,3.53298686594861,6.681855849030941,0.12000332874736142,1095223.4666790678,-2338033.772889963,9230064.451813214,-1711534.6661229217,-659324.4199234417,-118869.4603254786,5497525.599230587,3046360.9283068986,-1055362.2342587474,4080330.9487119187,-545876.278002289,-739133.0371155553,-117724.95879474869,4614390.3462214805
