COUNTY,Year,LABOR_FORCE,EMPLOYED,UNEMPLOYED
"Washoe County, NV",2007,222441,212915,9526
"White Pine County, NV",2007,4749,4576,173
"Carson City, NV",2007,28410,27047,1363
"Belknap County, NH",2007,32409,31253,1156
"Carroll County, NH",2007,25496,24620,876
"Cheshire County, NH",2007,42088,40597,1491
"Coos County, NH",2007,16698,15928,770
"Grafton County, NH",2007,48284,46858,1426
"Hillsborough County, NH",2007,228214,220129,8085
"Merrimack County, NH",2007,80318,77657,2661
"Rockingham County, NH",2007,173675,167110,6565
"Strafford County, NH",2007,68206,65980,2226
"Sullivan County, NH",2007,22548,21875,673
"Atlantic County, NJ",2007,135104,127177,7927
"Bergen County, NJ",2007,471472,455223,16249
"Burlington County, NJ",2007,237634,228511,9123
"Camden County, NJ",2007,262569,249877,12692
"Cape May County, NJ",2007,56472,52765,3707
"Cumberland County, NJ",2007,68174,63719,4455
"Essex County, NJ",2007,361575,342249,19326
"Gloucester County, NJ",2007,153893,147255,6638
"Hudson County, NJ",2007,290029,275553,14476
"Hunterdon County, NJ",2007,72048,69995,2053
"Mercer County, NJ",2007,196360,188835,7525
"Middlesex County, NJ",2007,420390,404171,16219
"Monmouth County, NJ",2007,331122,318729,12393
"Morris County, NJ",2007,271713,263489,8224
"Ocean County, NJ",2007,256510,244810,11700
"Passaic County, NJ",2007,236506,223853,12653
"Salem County, NJ",2007,31279,29729,1550
"Somerset County, NJ",2007,179245,173688,5557
"Sussex County, NJ",2007,84106,80801,3305
"Union County, NJ",2007,267086,255096,11990
"Warren County, NJ",2007,58513,56291,2222
"Bernalillo County, NM",2007,312319,301166,11153
"Catron County, NM",2007,1505,1432,73
"Chaves County, NM",2007,26808,25763,1045
"Cibola County, NM",2007,11968,11463,505
"Colfax County, NM",2007,6560,6328,232
"Curry County, NM",2007,20964,20368,596
"De Baca County, NM",2007,779,749,30
"Dona Ana County, NM",2007,86938,83322,3616
"Eddy County, NM",2007,26054,25280,774
"Grant County, NM",2007,12230,11762,468
"Guadalupe County, NM",2007,1791,1686,105
"Harding County, NM",2007,389,378,11
"Hidalgo County, NM",2007,2518,2442,76
"Lea County, NM",2007,27686,26999,687
"Lincoln County, NM",2007,10883,10547,336
"Los Alamos County, NM",2007,10485,10257,228
"Luna County, NM",2007,12315,11067,1248
"McKinley County, NM",2007,26725,25483,1242
"Mora County, NM",2007,2018,1859,159
"Otero County, NM",2007,25992,25003,989
"Quay County, NM",2007,3839,3665,174
"Rio Arriba County, NM",2007,20310,19345,965
"Roosevelt County, NM",2007,9512,9244,268
"Sandoval County, NM",2007,54017,51700,2317
"San Juan County, NM",2007,55637,53758,1879
"San Miguel County, NM",2007,13342,12784,558
"Santa Fe County, NM",2007,78018,75672,2346
"Sierra County, NM",2007,5545,5349,196
"Socorro County, NM",2007,9350,9050,300
"Taos County, NM",2007,17745,16877,868
"Torrance County, NM",2007,7086,6757,329
"Union County, NM",2007,1874,1823,51
"Valencia County, NM",2007,30827,29620,1207
"Albany County, NY",2007,158712,152567,6145
"Allegany County, NY",2007,23405,22129,1276
"Bronx County, NY",2007,512479,477487,34992
"Broome County, NY",2007,96858,92549,4309
"Cattaraugus County, NY",2007,41269,39164,2105
"Cayuga County, NY",2007,41137,39312,1825
"Chautauqua County, NY",2007,66781,63790,2991
"Chemung County, NY",2007,40956,39080,1876
"Chenango County, NY",2007,24405,23200,1205
"Clinton County, NY",2007,39784,37556,2228
"Columbia County, NY",2007,31765,30530,1235
"Cortland County, NY",2007,23737,22508,1229
"Delaware County, NY",2007,23129,22128,1001
"Dutchess County, NY",2007,145515,139838,5677
"Erie County, NY",2007,465331,443492,21839
"Essex County, NY",2007,18557,17506,1051
"Franklin County, NY",2007,22634,21379,1255
"Fulton County, NY",2007,27345,25875,1470
"Genesee County, NY",2007,32868,31375,1493
"Greene County, NY",2007,24124,22978,1146
"Hamilton County, NY",2007,3208,3057,151
"Herkimer County, NY",2007,30974,29456,1518
"Jefferson County, NY",2007,48137,45510,2627
"Kings County, NY",2007,1086423,1027298,59125
"Lewis County, NY",2007,12487,11809,678
"Livingston County, NY",2007,32250,30671,1579
"Madison County, NY",2007,35960,34286,1674
"Monroe County, NY",2007,373025,356559,16466
"Montgomery County, NY",2007,24476,23045,1431
"Nassau County, NY",2007,694915,669351,25564
"New York County, NY",2007,917566,877728,39838
"Niagara County, NY",2007,111370,105428,5942
"Oneida County, NY",2007,109920,105220,4700
"Onondaga County, NY",2007,232522,223044,9478
"Ontario County, NY",2007,56227,53872,2355
"Orange County, NY",2007,179230,171540,7690
"Orleans County, NY",2007,19476,18349,1127
"Oswego County, NY",2007,59415,56086,3329
"Otsego County, NY",2007,31622,30194,1428
"Putnam County, NY",2007,55673,53787,1886
"Queens County, NY",2007,1102350,1052959,49391
"Rensselaer County, NY",2007,83128,79590,3538
"Richmond County, NY",2007,239789,228808,10981
"Rockland County, NY",2007,153871,147944,5927
"St. Lawrence County, NY",2007,49337,46476,2861
"Saratoga County, NY",2007,119421,115047,4374
"Schenectady County, NY",2007,75551,72418,3133
"Schoharie County, NY",2007,15725,14816,909
"Schuyler County, NY",2007,9965,9468,497
"Seneca County, NY",2007,16993,16237,756
"Steuben County, NY",2007,44734,42386,2348
"Suffolk County, NY",2007,787940,757541,30399
"Sullivan County, NY",2007,35227,33391,1836
"Tioga County, NY",2007,26179,24952,1227
"Tompkins County, NY",2007,55351,53485,1866
"Ulster County, NY",2007,90485,86555,3930
"Warren County, NY",2007,36324,34706,1618
"Washington County, NY",2007,32403,31060,1343
"Wayne County, NY",2007,47564,45317,2247
"Westchester County, NY",2007,489581,471440,18141
"Wyoming County, NY",2007,21424,20375,1049
"Yates County, NY",2007,13055,12508,547
"Alamance County, NC",2007,69983,66446,3537
"Alexander County, NC",2007,18206,17254,952
"Alleghany County, NC",2007,4898,4645,253
"Anson County, NC",2007,10302,9547,755
"Ashe County, NC",2007,13078,12423,655
"Avery County, NC",2007,8257,7870,387
"Beaufort County, NC",2007,21313,20122,1191
"Bertie County, NC",2007,8818,8325,493
"Bladen County, NC",2007,15668,14702,966
"Brunswick County, NC",2007,47823,45649,2174
"Buncombe County, NC",2007,120202,115970,4232
"Burke County, NC",2007,40070,37685,2385
"Cabarrus County, NC",2007,82663,79012,3651
"Caldwell County, NC",2007,38427,35713,2714
"Camden County, NC",2007,4620,4436,184
"Carteret County, NC",2007,33229,31899,1330
"Caswell County, NC",2007,10706,9993,713
"Catawba County, NC",2007,76408,72207,4201
"Chatham County, NC",2007,32498,31263,1235
"Cherokee County, NC",2007,10231,9596,635
"Chowan County, NC",2007,7123,6687,436
"Clay County, NC",2007,4903,4706,197
"Cleveland County, NC",2007,49360,46420,2940
"Columbus County, NC",2007,24348,23037,1311
"Craven County, NC",2007,43233,41388,1845
"Cumberland County, NC",2007,129424,122573,6851
"Currituck County, NC",2007,12530,12134,396
"Dare County, NC",2007,22662,21560,1102
"Davidson County, NC",2007,79345,74935,4410
"Davie County, NC",2007,20580,19581,999
"Duplin County, NC",2007,24280,23201,1079
"Durham County, NC",2007,136544,131366,5178
"Edgecombe County, NC",2007,24242,22429,1813
"Forsyth County, NC",2007,173449,165850,7599
"Franklin County, NC",2007,26930,25737,1193
"Gaston County, NC",2007,97592,92055,5537
"Gates County, NC",2007,4987,4774,213
"Graham County, NC",2007,4678,4344,334
"Granville County, NC",2007,25096,23815,1281
"Greene County, NC",2007,9174,8676,498
"Guilford County, NC",2007,247292,235637,11655
"Halifax County, NC",2007,24355,22793,1562
"Harnett County, NC",2007,47956,45634,2322
"Haywood County, NC",2007,27421,26316,1105
"Henderson County, NC",2007,48419,46724,1695
"Hertford County, NC",2007,9925,9406,519
"Hoke County, NC",2007,19126,18157,969
"Hyde County, NC",2007,2689,2536,153
"Iredell County, NC",2007,79857,76196,3661
"Jackson County, NC",2007,21884,21080,804
"Johnston County, NC",2007,75088,72010,3078
"Jones County, NC",2007,4820,4606,214
"Lee County, NC",2007,26470,24975,1495
"Lenoir County, NC",2007,27936,26463,1473
"Lincoln County, NC",2007,39774,37819,1955
"McDowell County, NC",2007,21439,20245,1194
"Macon County, NC",2007,16643,15963,680
"Madison County, NC",2007,9830,9442,388
"Martin County, NC",2007,12022,11386,636
"Mecklenburg County, NC",2007,456736,436055,20681
"Mitchell County, NC",2007,7344,6822,522
"Montgomery County, NC",2007,11922,11171,751
"Moore County, NC",2007,37189,35495,1694
"Nash County, NC",2007,46370,43912,2458
"New Hanover County, NC",2007,104304,100377,3927
"Northampton County, NC",2007,9084,8542,542
"Onslow County, NC",2007,59887,57207,2680
"Orange County, NC",2007,67916,65724,2192
"Pamlico County, NC",2007,5600,5361,239
"Pasquotank County, NC",2007,18288,17374,914
"Pender County, NC",2007,23590,22594,996
"Perquimans County, NC",2007,5337,5060,277
"Person County, NC",2007,18861,17593,1268
"Pitt County, NC",2007,79009,75003,4006
"Polk County, NC",2007,9701,9370,331
"Randolph County, NC",2007,74238,70754,3484
"Richmond County, NC",2007,20691,19152,1539
"Robeson County, NC",2007,56833,53332,3501
"Rockingham County, NC",2007,44568,41822,2746
"Rowan County, NC",2007,70465,66228,4237
"Rutherford County, NC",2007,30295,28352,1943
"Sampson County, NC",2007,33022,31712,1310
"Scotland County, NC",2007,14507,13058,1449
"Stanly County, NC",2007,30681,29191,1490
"Stokes County, NC",2007,23807,22765,1042
"Surry County, NC",2007,35132,33263,1869
"Swain County, NC",2007,7292,6833,459
"Transylvania County, NC",2007,13357,12864,493
"Tyrrell County, NC",2007,2213,2088,125
"Union County, NC",2007,91672,88052,3620
"Vance County, NC",2007,19622,18320,1302
"Wake County, NC",2007,441589,426174,15415
"Warren County, NC",2007,7796,7311,485
"Washington County, NC",2007,6412,5999,413
"Watauga County, NC",2007,24743,23905,838
"Wayne County, NC",2007,52722,50347,2375
"Wilkes County, NC",2007,31357,29660,1697
"Wilson County, NC",2007,40724,38173,2551
"Yadkin County, NC",2007,19086,18271,815
"Yancey County, NC",2007,8077,7609,468
"Adams County, ND",2007,1294,1262,32
"Barnes County, ND",2007,6029,5840,189
"Benson County, ND",2007,2644,2470,174
"Billings County, ND",2007,507,494,13
"Bottineau County, ND",2007,3423,3300,123
"Bowman County, ND",2007,1763,1727,36
"Burke County, ND",2007,1016,990,26
"Burleigh County, ND",2007,47237,45984,1253
"Cass County, ND",2007,87690,85446,2244
"Cavalier County, ND",2007,2092,2029,63
"Dickey County, ND",2007,2947,2868,79
"Divide County, ND",2007,900,870,30
"Dunn County, ND",2007,1691,1626,65
"Eddy County, ND",2007,1293,1222,71
"Emmons County, ND",2007,1703,1615,88
"Foster County, ND",2007,1701,1643,58
"Golden Valley County, ND",2007,877,853,24
"Grand Forks County, ND",2007,39381,38252,1129
"Grant County, ND",2007,1200,1157,43
"Griggs County, ND",2007,1313,1278,35
"Hettinger County, ND",2007,1155,1109,46
"Kidder County, ND",2007,1225,1166,59
"LaMoure County, ND",2007,2187,2118,69
"Logan County, ND",2007,928,895,33
"McHenry County, ND",2007,2726,2590,136
"McIntosh County, ND",2007,1420,1380,40
"McKenzie County, ND",2007,2928,2838,90
"McLean County, ND",2007,4726,4508,218
"Mercer County, ND",2007,4753,4556,197
"Morton County, ND",2007,15021,14516,505
"Mountrail County, ND",2007,2972,2801,171
"Nelson County, ND",2007,1642,1575,67
"Oliver County, ND",2007,1131,1083,48
"Pembina County, ND",2007,4022,3797,225
"Pierce County, ND",2007,1913,1827,86
"Ramsey County, ND",2007,5890,5657,233
"Ransom County, ND",2007,3061,2965,96
"Renville County, ND",2007,1291,1252,39
"Richland County, ND",2007,8996,8696,300
"Rolette County, ND",2007,5157,4690,467
"Sargent County, ND",2007,2226,2145,81
"Sheridan County, ND",2007,635,603,32
"Sioux County, ND",2007,1292,1210,82
"Slope County, ND",2007,629,619,10
"Stark County, ND",2007,13947,13601,346
"Steele County, ND",2007,1119,1093,26
"Stutsman County, ND",2007,11876,11537,339
"Towner County, ND",2007,1144,1099,45
"Traill County, ND",2007,4237,4096,141
"Walsh County, ND",2007,5733,5492,241
"Ward County, ND",2007,29340,28461,879
"Wells County, ND",2007,2132,2034,98
"Williams County, ND",2007,13081,12833,248
"Adams County, OH",2007,13547,12506,1041
"Allen County, OH",2007,52259,48969,3290
"Ashland County, OH",2007,27654,26000,1654
"Ashtabula County, OH",2007,49729,46259,3470
"Athens County, OH",2007,30610,28746,1864
"Auglaize County, OH",2007,27156,25952,1204
"Belmont County, OH",2007,32878,31038,1840
"Brown County, OH",2007,21794,20381,1413
"Butler County, OH",2007,190611,180864,9747
"Carroll County, OH",2007,13935,13074,861
"Champaign County, OH",2007,21041,19800,1241
"Clark County, OH",2007,71363,66921,4442
"Clermont County, OH",2007,106078,100704,5374
"Clinton County, OH",2007,24450,23287,1163
"Columbiana County, OH",2007,53532,50208,3324
"Coshocton County, OH",2007,17513,16314,1199
"Crawford County, OH",2007,22347,20787,1560
"Cuyahoga County, OH",2007,653686,616532,37154
"Darke County, OH",2007,28313,26722,1591
"Defiance County, OH",2007,20795,19625,1170
"Delaware County, OH",2007,90447,86843,3604
"Erie County, OH",2007,42673,40097,2576
"Fairfield County, OH",2007,75513,71734,3779
"Fayette County, OH",2007,16895,16084,811
"Franklin County, OH",2007,622081,592795,29286
"Fulton County, OH",2007,23293,21825,1468
"Gallia County, OH",2007,14506,13608,898
"Geauga County, OH",2007,51658,49313,2345
"Greene County, OH",2007,79675,75499,4176
"Guernsey County, OH",2007,19889,18613,1276
"Hamilton County, OH",2007,437604,415449,22155
"Hancock County, OH",2007,41600,39728,1872
"Hardin County, OH",2007,15806,14863,943
"Harrison County, OH",2007,7417,6956,461
"Henry County, OH",2007,15931,14929,1002
"Highland County, OH",2007,21567,20287,1280
"Hocking County, OH",2007,14229,13321,908
"Holmes County, OH",2007,19739,18942,797
"Huron County, OH",2007,29739,27327,2412
"Jackson County, OH",2007,15922,14658,1264
"Jefferson County, OH",2007,32008,29969,2039
"Knox County, OH",2007,31128,29451,1677
"Lake County, OH",2007,133810,127339,6471
"Lawrence County, OH",2007,29601,28052,1549
"Licking County, OH",2007,83633,79207,4426
"Logan County, OH",2007,25324,24067,1257
"Lorain County, OH",2007,159594,150486,9108
"Lucas County, OH",2007,224338,209175,15163
"Madison County, OH",2007,20097,19043,1054
"Mahoning County, OH",2007,117091,109793,7298
"Marion County, OH",2007,32970,31165,1805
"Medina County, OH",2007,96074,91442,4632
"Meigs County, OH",2007,9274,8446,828
"Mercer County, OH",2007,24591,23648,943
"Miami County, OH",2007,55278,52280,2998
"Monroe County, OH",2007,5571,5116,455
"Montgomery County, OH",2007,271298,254523,16775
"Morgan County, OH",2007,5757,5220,537
"Morrow County, OH",2007,18013,16963,1050
"Muskingum County, OH",2007,39097,36062,3035
"Noble County, OH",2007,5830,5399,431
"Ottawa County, OH",2007,21764,20195,1569
"Paulding County, OH",2007,10970,10423,547
"Perry County, OH",2007,16449,15243,1206
"Pickaway County, OH",2007,24536,23048,1488
"Pike County, OH",2007,10922,9887,1035
"Portage County, OH",2007,92197,87293,4904
"Preble County, OH",2007,21688,20437,1251
"Putnam County, OH",2007,18282,17406,876
"Richland County, OH",2007,62590,58534,4056
"Ross County, OH",2007,35056,32642,2414
"Sandusky County, OH",2007,33950,31887,2063
"Scioto County, OH",2007,32298,29898,2400
"Seneca County, OH",2007,31225,29440,1785
"Shelby County, OH",2007,28444,27077,1367
"Stark County, OH",2007,192111,180927,11184
"Summit County, OH",2007,297444,281395,16049
"Trumbull County, OH",2007,106325,99690,6635
"Tuscarawas County, OH",2007,48239,45658,2581
"Union County, OH",2007,25475,24373,1102
"Van Wert County, OH",2007,15584,14726,858
"Vinton County, OH",2007,5895,5432,463
"Warren County, OH",2007,108163,103190,4973
"Washington County, OH",2007,33179,31462,1717
"Wayne County, OH",2007,60204,57299,2905
"Williams County, OH",2007,19786,18591,1195
"Wood County, OH",2007,69423,65714,3709
"Wyandot County, OH",2007,12245,11448,797
"Adair County, OK",2007,10876,10360,516
"Alfalfa County, OK",2007,2329,2227,102
"Atoka County, OK",2007,5914,5593,321
"Beaver County, OK",2007,3083,3001,82
"Beckham County, OK",2007,11609,11328,281
"Blaine County, OK",2007,4943,4734,209
"Bryan County, OK",2007,20677,19953,724
"Caddo County, OK",2007,11938,11345,593
"Canadian County, OK",2007,50999,49067,1932
"Carter County, OK",2007,25602,24729,873
"Cherokee County, OK",2007,23189,22247,942
"Choctaw County, OK",2007,6841,6478,363
"Cimarron County, OK",2007,1262,1214,48
"Cleveland County, OK",2007,117837,113477,4360
"Coal County, OK",2007,2499,2344,155
"Comanche County, OK",2007,44888,42939,1949
"Cotton County, OK",2007,3964,3858,106
"Craig County, OK",2007,7404,7063,341
"Creek County, OK",2007,30982,29624,1358
"Custer County, OK",2007,14502,14061,441
"Delaware County, OK",2007,18393,17552,841
"Dewey County, OK",2007,2450,2375,75
"Ellis County, OK",2007,2375,2316,59
"Garfield County, OK",2007,30294,29405,889
"Garvin County, OK",2007,14506,14031,475
"Grady County, OK",2007,22769,21768,1001
"Grant County, OK",2007,2539,2457,82
"Greer County, OK",2007,2002,1904,98
"Harmon County, OK",2007,1338,1292,46
"Harper County, OK",2007,1878,1825,53
"Haskell County, OK",2007,5651,5422,229
"Hughes County, OK",2007,4858,4561,297
"Jackson County, OK",2007,12580,12153,427
"Jefferson County, OK",2007,2354,2238,116
"Johnston County, OK",2007,5097,4878,219
"Kay County, OK",2007,22926,21962,964
"Kingfisher County, OK",2007,8357,8137,220
"Kiowa County, OK",2007,3963,3789,174
"Latimer County, OK",2007,4210,4000,210
"Le Flore County, OK",2007,21178,20003,1175
"Lincoln County, OK",2007,13908,13323,585
"Logan County, OK",2007,16991,16336,655
"Love County, OK",2007,5098,4940,158
"McClain County, OK",2007,14734,14172,562
"McCurtain County, OK",2007,13853,12967,886
"McIntosh County, OK",2007,8498,8037,461
"Major County, OK",2007,3967,3857,110
"Marshall County, OK",2007,6379,6102,277
"Mayes County, OK",2007,18255,17468,787
"Murray County, OK",2007,8113,7881,232
"Muskogee County, OK",2007,29586,27955,1631
"Noble County, OK",2007,5932,5732,200
"Nowata County, OK",2007,4912,4668,244
"Okfuskee County, OK",2007,4665,4434,231
"Oklahoma County, OK",2007,323354,309044,14310
"Okmulgee County, OK",2007,16063,15177,886
"Osage County, OK",2007,20153,19310,843
"Ottawa County, OK",2007,16941,16105,836
"Pawnee County, OK",2007,7376,7042,334
"Payne County, OK",2007,37680,36285,1395
"Pittsburg County, OK",2007,22653,21777,876
"Pontotoc County, OK",2007,20008,19289,719
"Pottawatomie County, OK",2007,32774,31409,1365
"Pushmataha County, OK",2007,5226,4969,257
"Roger Mills County, OK",2007,1869,1818,51
"Rogers County, OK",2007,39870,38352,1518
"Seminole County, OK",2007,10568,9991,577
"Sequoyah County, OK",2007,17912,16872,1040
"Stephens County, OK",2007,21561,20776,785
"Texas County, OK",2007,9376,9081,295
"Tillman County, OK",2007,3456,3295,161
"Tulsa County, OK",2007,291603,280376,11227
"Wagoner County, OK",2007,32564,31324,1240
"Washington County, OK",2007,26923,25994,929
"Washita County, OK",2007,5957,5777,180
"Woods County, OK",2007,4424,4163,261
"Woodward County, OK",2007,12002,11686,316
"Baker County, OR",2007,7292,6870,422
"Benton County, OR",2007,42323,40576,1747
"Clackamas County, OR",2007,196402,187434,8968
"Clatsop County, OR",2007,19891,18962,929
"Columbia County, OR",2007,23745,22391,1354
"Coos County, OR",2007,28219,26364,1855
"Crook County, OR",2007,9790,9183,607
"Curry County, OR",2007,9510,8889,621
"Deschutes County, OR",2007,81675,77625,4050
"Douglas County, OR",2007,47035,43421,3614
"Gilliam County, OR",2007,1046,999,47
"Grant County, OR",2007,3437,3161,276
"Harney County, OR",2007,3317,3075,242
"Hood River County, OR",2007,12884,12303,581
"Jackson County, OR",2007,101473,95750,5723
"Jefferson County, OR",2007,9289,8662,627
"Josephine County, OR",2007,34862,32405,2457
"Klamath County, OR",2007,30573,28458,2115
"Lake County, OR",2007,3639,3375,264
"Lane County, OR",2007,181463,172060,9403
"Lincoln County, OR",2007,22510,21272,1238
"Linn County, OR",2007,53653,50267,3386
"Malheur County, OR",2007,12719,12003,716
"Marion County, OR",2007,151768,143586,8182
"Morrow County, OR",2007,5326,5036,290
"Multnomah County, OR",2007,379156,360681,18475
"Polk County, OR",2007,38469,36579,1890
"Sherman County, OR",2007,930,885,45
"Tillamook County, OR",2007,12433,11821,612
"Umatilla County, OR",2007,36645,34522,2123
"Union County, OR",2007,12235,11562,673
"Wallowa County, OR",2007,3648,3427,221
"Wasco County, OR",2007,13239,12589,650
"Washington County, OR",2007,283981,271750,12231
"Wheeler County, OR",2007,611,577,34
"Yamhill County, OR",2007,46583,44255,2328
"Adams County, PA",2007,55892,54028,1864
"Allegheny County, PA",2007,633672,607439,26233
"Armstrong County, PA",2007,32834,31192,1642
"Beaver County, PA",2007,88933,84904,4029
"Bedford County, PA",2007,23545,22215,1330
"Berks County, PA",2007,203068,194447,8621
"Blair County, PA",2007,65094,62365,2729
"Bradford County, PA",2007,30827,29368,1459
"Bucks County, PA",2007,347367,334141,13226
"Butler County, PA",2007,96948,93055,3893
"Cambria County, PA",2007,68335,64702,3633
"Cameron County, PA",2007,2555,2401,154
"Carbon County, PA",2007,31081,29413,1668
"Centre County, PA",2007,73700,71112,2588
"Chester County, PA",2007,267222,258865,8357
"Clarion County, PA",2007,20286,19319,967
"Clearfield County, PA",2007,40780,38551,2229
"Clinton County, PA",2007,19149,18145,1004
"Columbia County, PA",2007,35206,33429,1777
"Crawford County, PA",2007,42787,40674,2113
"Cumberland County, PA",2007,123188,119168,4020
"Dauphin County, PA",2007,135823,130509,5314
"Delaware County, PA",2007,283132,271606,11526
"Elk County, PA",2007,17483,16659,824
"Erie County, PA",2007,140590,133805,6785
"Fayette County, PA",2007,65659,61917,3742
"Forest County, PA",2007,2394,2237,157
"Franklin County, PA",2007,80752,78014,2738
"Fulton County, PA",2007,8104,7652,452
"Greene County, PA",2007,18128,17223,905
"Huntingdon County, PA",2007,22187,21044,1143
"Indiana County, PA",2007,45705,43578,2127
"Jefferson County, PA",2007,23094,22027,1067
"Juniata County, PA",2007,12488,11962,526
"Lackawanna County, PA",2007,106909,101792,5117
"Lancaster County, PA",2007,269595,260379,9216
"Lawrence County, PA",2007,44068,41769,2299
"Lebanon County, PA",2007,72124,69628,2496
"Lehigh County, PA",2007,175800,168063,7737
"Luzerne County, PA",2007,159118,151181,7937
"Lycoming County, PA",2007,59328,56408,2920
"McKean County, PA",2007,21676,20591,1085
"Mercer County, PA",2007,55433,52359,3074
"Mifflin County, PA",2007,22514,21338,1176
"Monroe County, PA",2007,81613,77608,4005
"Montgomery County, PA",2007,430052,415122,14930
"Montour County, PA",2007,9214,8859,355
"Northampton County, PA",2007,151894,145194,6700
"Northumberland County, PA",2007,47308,44904,2404
"Perry County, PA",2007,24560,23565,995
"Philadelphia County, PA",2007,620518,582727,37791
"Pike County, PA",2007,27631,26134,1497
"Potter County, PA",2007,7756,7196,560
"Schuylkill County, PA",2007,73592,69906,3686
"Snyder County, PA",2007,19834,18913,921
"Somerset County, PA",2007,38870,36732,2138
"Sullivan County, PA",2007,2996,2858,138
"Susquehanna County, PA",2007,21647,20707,940
"Tioga County, PA",2007,20374,19259,1115
"Union County, PA",2007,17676,16746,930
"Venango County, PA",2007,26073,24791,1282
"Warren County, PA",2007,21423,20447,976
"Washington County, PA",2007,104070,99305,4765
"Wayne County, PA",2007,25655,24580,1075
"Westmoreland County, PA",2007,185838,177330,8508
"Wyoming County, PA",2007,14413,13654,759
"York County, PA",2007,225424,216856,8568
"Bristol County, RI",2007,27647,26403,1244
"Kent County, RI",2007,97802,92912,4890
"Newport County, RI",2007,45374,43313,2061
"Providence County, RI",2007,328144,309733,18411
"Washington County, RI",2007,74206,71040,3166
"Abbeville County, SC",2007,11511,10580,931
"Aiken County, SC",2007,74572,70571,4001
"Allendale County, SC",2007,3546,3180,366
"Anderson County, SC",2007,84980,80072,4908
"Bamberg County, SC",2007,6232,5664,568
"Barnwell County, SC",2007,8818,7996,822
"Beaufort County, SC",2007,63906,61117,2789
"Berkeley County, SC",2007,77641,73923,3718
"Calhoun County, SC",2007,6896,6465,431
"Charleston County, SC",2007,173525,165971,7554
"Cherokee County, SC",2007,25257,23543,1714
"Chester County, SC",2007,15475,13788,1687
"Chesterfield County, SC",2007,18468,17037,1431
"Clarendon County, SC",2007,12641,11580,1061
"Colleton County, SC",2007,16458,15456,1002
"Darlington County, SC",2007,30770,28762,2008
"Dillon County, SC",2007,12978,11797,1181
"Dorchester County, SC",2007,62138,59419,2719
"Edgefield County, SC",2007,10975,10281,694
"Fairfield County, SC",2007,11118,10174,944
"Florence County, SC",2007,62583,58784,3799
"Georgetown County, SC",2007,29139,27340,1799
"Greenville County, SC",2007,220826,210480,10346
"Greenwood County, SC",2007,30936,28799,2137
"Hampton County, SC",2007,7855,7330,525
"Horry County, SC",2007,130268,123740,6528
"Jasper County, SC",2007,10062,9602,460
"Kershaw County, SC",2007,29633,28045,1588
"Lancaster County, SC",2007,29787,26932,2855
"Laurens County, SC",2007,33357,30968,2389
"Lee County, SC",2007,8137,7476,661
"Lexington County, SC",2007,131525,126132,5393
"McCormick County, SC",2007,3496,3148,348
"Marion County, SC",2007,12854,11372,1482
"Marlboro County, SC",2007,11832,10426,1406
"Newberry County, SC",2007,18019,17008,1011
"Oconee County, SC",2007,30225,28149,2076
"Orangeburg County, SC",2007,40302,37031,3271
"Pickens County, SC",2007,58130,55185,2945
"Richland County, SC",2007,179489,170088,9401
"Saluda County, SC",2007,9116,8632,484
"Spartanburg County, SC",2007,134253,126674,7579
"Sumter County, SC",2007,44599,41465,3134
"Union County, SC",2007,11657,10611,1046
"Williamsburg County, SC",2007,15258,13885,1373
"York County, SC",2007,104653,99009,5644
"Aurora County, SD",2007,1381,1341,40
"Beadle County, SD",2007,9448,9217,231
"Bennett County, SD",2007,1389,1333,56
"Bon Homme County, SD",2007,3091,2974,117
"Brookings County, SD",2007,19704,19279,425
"Brown County, SD",2007,21248,20758,490
"Brule County, SD",2007,2814,2741,73
"Buffalo County, SD",2007,489,435,54
"Butte County, SD",2007,5341,5198,143
"Campbell County, SD",2007,836,810,26
"Charles Mix County, SD",2007,4030,3895,135
"Clark County, SD",2007,1834,1768,66
"Clay County, SD",2007,7614,7423,191
"Codington County, SD",2007,16778,16334,444
"Corson County, SD",2007,1352,1276,76
"Custer County, SD",2007,4712,4582,130
"Davison County, SD",2007,11285,11009,276
"Day County, SD",2007,2874,2737,137
"Deuel County, SD",2007,2677,2584,93
"Dewey County, SD",2007,2515,2274,241
"Douglas County, SD",2007,1675,1633,42
"Edmunds County, SD",2007,2062,2010,52
"Fall River County, SD",2007,3753,3632,121
"Faulk County, SD",2007,1119,1084,35
"Grant County, SD",2007,4227,4085,142
"Gregory County, SD",2007,2374,2298,76
"Haakon County, SD",2007,1166,1137,29
"Hamlin County, SD",2007,3003,2919,84
"Hand County, SD",2007,1873,1822,51
"Hanson County, SD",2007,1977,1918,59
"Harding County, SD",2007,748,729,19
"Hughes County, SD",2007,10230,9992,238
"Hutchinson County, SD",2007,3783,3669,114
"Hyde County, SD",2007,734,710,24
"Jackson County, SD",2007,1207,1143,64
"Jerauld County, SD",2007,1379,1346,33
"Jones County, SD",2007,702,687,15
"Kingsbury County, SD",2007,2952,2868,84
"Lake County, SD",2007,6889,6690,199
"Lawrence County, SD",2007,13460,13119,341
"Lincoln County, SD",2007,21201,20723,478
"Lyman County, SD",2007,1971,1886,85
"McCook County, SD",2007,2789,2713,76
"McPherson County, SD",2007,1130,1083,47
"Marshall County, SD",2007,2070,1983,87
"Meade County, SD",2007,12470,12118,352
