CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,TSD_WA_EMP_PCT_LEHD,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS_POW,YEARS_SINCE_TNC_RAIL_POW,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,TSD_WA_EMP_PCT_LEHD_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_POW_FAC,YEARS_SINCE_TNC_RAIL_POW_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
2.0,1,2003,155,47563478.99999999,66035486.0,47103514.99999999,47597707.99999998,34228.99999998859,45382136.19244921,4012443.280587355,3067152.004992234,0.9542567032798952,2800412.087069391,35.3957583484365,2.224829338305972,34792.15395338046,7.721179241325051,3.558385180360755,0.0,0.0,714630.5286375836,3176992.212545183,314754.6855038545,-515.8689232869651,771035.9073941691,176813.81145593716,20723.68288922612,0.0,0.0,0.0,5174434.959502667,5503576.5990052745,-5469347.599005287,459964.0,494192.9999999886
2.0,1,2004,155,47563478.99999999,66035486.0,47597707.99999998,52276659.00000001,4678951.000000035,48354670.28528128,2972534.092832068,2963269.754665506,0.8875860043211086,2846929.327745254,34.771445423300975,2.5316819613868025,33820.02908885765,7.764047847719464,3.558385180360755,0.0,0.0,984325.6881989096,921992.0488916737,342047.92342086084,-39025.57795874355,823177.4326574664,256091.93492268008,21675.228389215663,0.0,0.0,0.0,3310284.678522063,3404911.9375624694,1274039.062437566,0.0,4678951.000000035
2.0,1,2005,155,47563478.99999999,66035486.0,52276659.00000001,58690113.00000001,6413453.999999994,52776213.51040716,4421543.225125881,3111608.723926416,0.8444540385382715,2900400.9844958903,34.47426519188522,2.9878722656284245,32966.477874574084,7.782543499393725,3.558385180360755,0.0,0.0,2139015.914698863,568933.1217554758,430962.5489591217,-21277.77348130083,1203910.4697198127,243381.18605459397,11040.592443005677,0.0,0.0,0.0,4575966.060149572,4705405.069824285,1708048.9301757088,0.0,6413453.999999994
2.0,1,2006,155,47563478.99999999,66035486.0,58690113.00000001,64424944.99999997,5734831.999999959,57252677.77182738,4476464.261420218,3372635.915642189,0.8251541095091743,2968493.450452537,34.323495190419656,3.273630072875872,31633.004303496185,7.8729895351010795,3.603952780661818,0.0,0.0,2701343.996447903,432061.1624046191,561008.3711352759,-10196.029513769703,770025.1306767119,459997.99836988765,64037.106271615114,-36278.46051429849,0.0,0.0,4941999.275277944,5055032.053036794,679799.9469631647,0.0,5734831.999999959
2.0,1,2007,199,49238964.999999985,73818234.0,64424944.99999997,70014924.00000001,3914493.000000055,61845780.02810992,2167075.3941381276,3742531.768847252,0.9980241334568685,2929215.472349011,34.16291837314005,3.471538263771386,32002.695562030396,7.680723815579795,3.9632681860798664,0.0,0.0,3783320.205624848,-1319840.6719021995,178868.2618309778,-60678.2815163605,573992.115091395,-215276.45205556625,-163680.98773889962,-215126.38448100555,0.0,0.0,2561577.8048531907,2580444.280357457,1334048.7196425982,1675486.0000000012,5589979.000000056
2.0,1,2008,223,53725603.999999985,78291320.0,70014924.00000001,83554060.99999996,9052497.999999935,74870956.95275821,9274863.075176015,3896924.8286649873,0.9397704566662355,2895500.6518289633,32.85261437133186,3.8638884750686096,32021.54596663316,7.630155217612816,3.987652155571858,0.0,0.0,7856028.19683955,-534404.8555091051,51432.179363096235,3158.2292439475677,1111098.470065318,117316.7107249904,89849.12095172078,21139.035138879182,0.0,0.0,8715617.086818397,8768166.716681633,284331.28331829945,4486638.999999996,13539136.999999931
2.0,1,2009,223,53725603.999999985,78291320.0,83554060.99999996,73672879.00000001,-9881181.999999946,69534808.89086102,-5336148.06189719,3862212.998123986,1.1350311080918885,2873615.5909563685,33.835214384423146,2.800585588102462,30718.835568126135,7.974824460233151,4.058198755662198,0.0,0.0,467087.5314647568,-3973367.3449242283,-175290.70134858787,107639.13355573246,-3793105.050165849,620130.6595800899,288575.17024522944,-59083.0691511791,0.0,0.0,-6517413.670744035,-6327399.066527622,-3553782.9334723237,0.0,-9881181.999999946
2.0,1,2010,245,54891290.999999985,79420623.0,73672879.00000001,70894166.99999999,-3944399.000000025,71378593.25053176,852863.3127043584,3651703.660462585,1.1679414328146647,2852151.6969436985,35.45257215923914,3.2660852247490406,29966.431743469093,7.930105432754352,4.0089942719693,0.0,0.0,-885871.0213765269,-420138.9654836185,65374.57307337412,149200.2100602938,1631619.957159279,375689.6270564855,31421.762194380462,59702.56419114706,0.0,0.0,1006998.7068748144,1046449.4130261197,-4990848.413026145,1165687.0000000005,-2778712.000000024
2.0,1,2011,268,55360618.999999985,80022377.0,70894166.99999999,75273404.99999997,3909909.999999983,78203073.29535843,6150400.538902961,3875937.024187538,1.197579923785102,2865273.642831006,35.13240113067705,3.992770496037986,29426.82216751658,8.350291656962867,4.079186161195199,0.0,0.0,3485955.6624154,-288129.11131342495,169206.22765475907,-40051.39076962243,2119830.695034179,291035.83862576884,334606.77273823664,-68139.3408067423,0.0,0.0,6004315.353578554,6077526.717060434,-2167616.717060452,469328.00000000006,4379237.999999982
2.0,1,2012,290,57011928.999999985,81673687.0,75273404.99999997,81673687.00000003,4748972.000000066,84732888.31151293,4792001.2638924625,4140949.1879227594,1.1695809610757317,2873847.8133243476,34.19460241943219,4.003753191483839,29075.687025196436,8.362440679388342,4.424885790129991,0.0,0.0,4203392.930648043,369797.3532480492,265994.25101525214,-144982.59921278557,36382.24270597802,206351.51384844398,-7135.631587786064,-205800.53695840714,0.0,0.0,4723999.523706788,4637112.091088285,111859.9089117817,1651310.0000000002,6400282.000000066
