CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS_NY,YEARS_SINCE_TNC_BUS_HI,YEARS_SINCE_TNC_BUS_MID,YEARS_SINCE_TNC_BUS_LOW,YEARS_SINCE_TNC_RAIL_NY,YEARS_SINCE_TNC_RAIL_HI,YEARS_SINCE_TNC_RAIL_MID,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_NY_FAC,YEARS_SINCE_TNC_BUS_HI_FAC,YEARS_SINCE_TNC_BUS_MID_FAC,YEARS_SINCE_TNC_BUS_LOW_FAC,YEARS_SINCE_TNC_RAIL_NY_FAC,YEARS_SINCE_TNC_RAIL_HI_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
3.0,0,2014,4323,308782118.99999994,308782119.0,305945778.0,305688281.0,-257497.0000000542,305241456.8385994,1749679.0361402575,2000478.5452400045,0.8575409018367931,610614.1157604394,3.6375981404143416,26377.516988185707,7.43042632776831,3.956568891542583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3681478.460465929,370510.720312656,276201.7683746992,-1911735.5190158305,-154660.1999589256,9228.756822783042,-409960.8514206545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1861063.1355806512,1908010.4646925065,-2165507.464692563,0.0,-257497.0000000542
3.0,0,2015,4323,308782118.99999994,308782119.0,305688281.0,294101975.0,-11586306.000000002,289076498.7619025,-16164958.076696794,2039312.4708937146,0.901959803110145,615963.9935665852,2.637965661117833,27241.25638991953,7.282341452251106,3.959655685891578,0.0,0.0,0.0,0.5688321479521941,0.0,0.0,0.0,3575336.5972665497,-3288090.468905505,316655.67545458867,-10199669.602633974,-346311.0019456263,-46616.93532700134,28925.89064148565,0.0,0.0,0.0,-6483459.108619942,0.0,0.0,0.0,-16443228.95406942,-16232679.68361722,4646373.683617222,0.0,-11586306.000000002
3.0,0,2016,4323,308782118.99999994,308782119.0,294101975.0,275538089.0,-18563885.99999998,274968212.62994343,-14108286.131959176,2071736.0829901383,0.9600918066164853,620555.4416396929,2.352063382118961,27593.089524020485,7.144735420307259,4.507403669640598,0.0,0.0,0.0,1.3508774029755264,0.0,0.0,0.0,2376514.0744279665,-3657132.422200134,291242.4789626296,-3308754.702690116,-134858.93489303076,-36446.6479511242,-1323026.903698764,0.0,0.0,0.0,-8747536.171253962,0.0,0.0,0.0,-14539999.229296537,-14272382.550775228,-4291503.449224748,0.0,-18563885.99999998
3.0,0,2017,4323,308782118.99999994,308782119.0,275538089.0,267025343.0,-8512745.999999994,269635456.345668,-5332756.284275427,2096414.6507024618,0.9546242125421551,625021.9144284313,2.5653065737158176,27877.93375171985,7.076671552879848,4.822247767203126,0.0,0.0,0.0,2.233016572439546,0.0,0.0,0.0,1883564.4472357256,425642.5980575358,247432.1686922874,2374088.7508705584,-112451.62490544113,-11746.0813416374,-645477.8057860527,0.0,0.0,0.0,-9313918.48175328,0.0,0.0,0.0,-5152866.0289303,-5296025.011886037,-3216720.988113958,0.0,-8512745.999999994
3.0,0,2018,4323,308782118.99999994,308782119.0,267025343.0,263669464.0,-3355879.0000000214,264192866.112908,-5442590.2327599805,2112146.892401489,0.9527236728275024,630139.6589644218,2.8219451798956015,28265.39723924558,6.990291387823906,5.195317836312278,0.0,0.0,0.0,3.218764911707857,0.0,0.0,0.0,1987886.6694856351,730691.7681085417,260342.0676177734,2601952.9999330933,-129675.88927043242,-14756.913154568003,-794580.8961591498,0.0,0.0,0.0,-10065108.665435452,0.0,0.0,0.0,-5423248.8588745585,-5533966.294043307,2178087.294043284,0.0,-3355879.0000000214
10.0,0,2012,100,1032661299.000001,1032661299.0,0.0,1032661299.000001,0.0,1068647975.5047722,0.0,227959423.99999982,1.36910030643,27909105.42000003,4.109300000000001,33963.31,31.51,4.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032661299.000001,1032661299.000001
10.0,0,2013,100,1032661299.000001,1032661299.0,1032661299.000001,1031511812.0000011,-1149486.9999998808,1020743257.3128432,-47904718.19192898,232024740.99999997,1.6314814638000001,28818049.080000035,3.942,33700.32,29.929999999999996,4.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9784147.89966842,-52320850.21752951,3887531.522565652,-4768179.542561063,288869.7277382751,-1571694.5245462765,-822913.4809327116,-400060.63780468574,0.0,0.0,0.0,0.0,0.0,0.0,-45923149.2534019,-46291528.78237538,45142041.7823755,0.0,-1149486.9999998808
10.0,0,2014,100,1032661299.000001,1032661299.0,1031511812.0000011,1020949725.9999985,-10562086.000002623,1017098717.6633506,-3644539.6494926214,232003465.00000018,1.6276280739800004,29110612.08000001,3.7523999999999997,33580.79999999999,30.2,4.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-50461.728483988954,748531.1223128267,1222299.6564272689,-5594381.617933625,131870.2975578058,268521.0565410857,0.0,-399615.3180247991,0.0,0.0,0.0,0.0,0.0,0.0,-3673236.5316034267,-3682988.519219552,-6879097.48078307,0.0,-10562086.000002623
10.0,0,2015,100,1032661299.000001,1032661299.0,1020949725.9999985,997331165.9999996,-23618559.999998808,975164481.7225008,-41934235.94084978,232760765.0,1.68115187828,29378317.829999972,2.7030000000000003,34173.339999999975,30.17,4.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1776521.704132206,-10140348.934074132,1096329.7205910895,-34804203.68193752,-642329.5377561867,-29525.90296292213,814229.5389188661,-395523.4876581525,0.0,0.0,0.0,0.0,0.0,0.0,-42324850.580746755,-42093010.19687296,18474450.19687415,0.0,-23618559.999998808
10.0,0,2016,100,1032661299.000001,1032661299.0,997331165.9999996,999255570.0000013,1924404.000001669,957482498.690921,-17681983.031579852,232107588.99999964,1.68756526155,29437697.49999995,2.4255,35302.049999999996,29.88,4.499999999999999,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-1494057.6275454117,-1178818.1162190447,236129.27032466157,-10741376.68520357,-1165393.8417856246,-278779.31062957254,-3175239.571785041,-386373.48253374454,0.0,0.0,0.0,0.0,0.0,0.0,-18183909.365377348,-18083916.185019597,20008320.185021266,0.0,1924404.000001669
