,CBSA,MNAME,Mode,Year,TNC_FLAG,YEARS_SINCE_TNC,UBER_NET_REVENUE,UBER_REV_SCALED
145,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Bus,2018,1,6,11270,751.3333333333334
146,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Rail,2012,1,0,15,1.0
147,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Rail,2013,1,1,103,6.866666666666666
148,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Rail,2014,1,2,445,29.666666666666668
149,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Rail,2015,1,3,1690,112.66666666666667
150,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Rail,2016,1,4,4964,330.93333333333334
151,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Rail,2017,1,5,7932,528.8
152,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Rail,2018,1,6,11270,751.3333333333334
153,14740,"Bremerton-Silverdale, WA Metro Area",Bus,2015,1,0,1690,1.0
154,14740,"Bremerton-Silverdale, WA Metro Area",Bus,2016,1,1,4964,2.9372781065088756
155,14740,"Bremerton-Silverdale, WA Metro Area",Bus,2017,1,2,7932,4.693491124260355
156,14740,"Bremerton-Silverdale, WA Metro Area",Bus,2018,1,3,11270,6.668639053254438
157,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",Bus,2014,1,0,445,1.0
158,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",Bus,2015,1,1,1690,3.797752808988764
159,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",Bus,2016,1,2,4964,11.155056179775281
160,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",Bus,2017,1,3,7932,17.824719101123595
161,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",Bus,2018,1,4,11270,25.325842696629213
162,15180,"Brownsville-Harlingen, TX Metro Area",Bus,2017,1,0,7932,1.0
163,15180,"Brownsville-Harlingen, TX Metro Area",Bus,2018,1,1,11270,1.4208270297528995
