UA,UANAME,CBSA,MNAME,UAPOP,MPOP,metro_micro
60976,"Nampa, ID Urbanized Area",14260,"Boise City-Nampa, ID Metro Area",151499,616561,FALSE
60930,"Mystic Island, NJ Urban Cluster",35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",22217,18897109,FALSE
60799,"Murrieta--Temecula--Menifee, CA Urbanized Area",40140,"Riverside-San Bernardino-Ontario, CA Metro Area",441546,4224851,FALSE
60733,"Murfreesboro, TN Urbanized Area",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",133228,1589934,FALSE
60652,"Muncy, PA Urban Cluster",48700,"Williamsport, PA Metro Area",9495,116111,FALSE
60546,"Muldrow--Roland, OK Urban Cluster",22900,"Fort Smith, AR-OK Metro Area",5841,298592,FALSE
59745,"Mountain House, CA Urban Cluster",44700,"Stockton, CA Metro Area",9616,685306,FALSE
60490,"Mount Vernon, WA Urbanized Area",34580,"Mount Vernon-Anacortes, WA Metro Area",62966,116901,FALSE
60355,"Mount Vernon, IN Urban Cluster",21780,"Evansville, IN-KY Metro Area",7011,358676,FALSE
60382,"Mount Vernon, IA Urban Cluster",16300,"Cedar Rapids, IA Metro Area",6455,257940,FALSE
60058,"Mount Orab, OH Urban Cluster",17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",3030,2130151,FALSE
60004,"Mount Morris, NY Urban Cluster",40380,"Rochester, NY Metro Area",4028,1054323,FALSE
59950,"Mount Horeb, WI Urban Cluster",31540,"Madison, WI Metro Area",6997,568593,FALSE
59923,"Mount Hood Village, OR Urban Cluster",38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",3638,2226009,FALSE
59910,"Mount Holly Springs, PA Urban Cluster",25420,"Harrisburg-Carlisle, PA Metro Area",4416,549475,FALSE
59896,"Mount Gilead, OH Urban Cluster",18140,"Columbus, OH Metro Area",3884,1836536,FALSE
59827,"Mount Angel, OR Urban Cluster",41420,"Salem, OR Metro Area",3568,390738,FALSE
59605,"Moundville, AL Urban Cluster",46220,"Tuscaloosa, AL Metro Area",2578,219461,FALSE
59545,"Moulton, AL Urban Cluster",19460,"Decatur, AL Metro Area",2919,153829,FALSE
59501,"Moscow, PA Urban Cluster",42540,"Scranton--Wilkes-Barre, PA Metro Area",2811,563631,FALSE
59437,"Morro Bay--Los Osos, CA Urban Cluster",42020,"San Luis Obispo-Paso Robles, CA Metro Area",26772,269637,FALSE
59410,"Morristown, TN Urbanized Area",34100,"Morristown, TN Metro Area",59036,136608,FALSE
59329,"Morris, IL Urban Cluster",16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",15668,9461105,FALSE
59275,"Morgantown, WV Urbanized Area",34060,"Morgantown, WV Metro Area",70350,129709,FALSE
59210,"Morgan, UT Urban Cluster",36260,"Ogden-Clearfield, UT Metro Area",3518,547184,FALSE
58972,"Moodus, CT Urban Cluster",25540,"Hartford-West Hartford-East Hartford, CT Metro Area",2701,1212381,FALSE
58961,"Montrose, MN Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",4470,3279833,FALSE
58870,"Monticello--Big Lake, MN Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",25536,3279833,FALSE
58735,"Monticello, IL Urban Cluster",16580,"Champaign-Urbana, IL Metro Area",5410,231891,FALSE
58789,"Monticello, IA Urban Cluster",16300,"Cedar Rapids, IA Metro Area",3180,257940,FALSE
58721,"Monticello, GA Urban Cluster",12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2535,5268860,FALSE
58600,"Montgomery, AL Urbanized Area",33860,"Montgomery, AL Metro Area",263907,374536,FALSE
58420,"Montauk, NY Urban Cluster",35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",2719,18897109,FALSE
58428,"Mont Belvieu, TX Urban Cluster",26420,"Houston-Sugar Land-Baytown, TX Metro Area",3094,5946800,FALSE
58357,"Monroe, MI Urbanized Area",33780,"Monroe, MI Metro Area",51240,152021,FALSE
58330,"Monroe, LA Urbanized Area",33740,"Monroe, LA Metro Area",116533,176441,FALSE
58303,"Monroe, GA Urban Cluster",12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",15854,5268860,FALSE
58249,"Monmouth--Independence, OR Urban Cluster",41420,"Salem, OR Metro Area",18167,390738,FALSE
58168,"Monessen--California, PA Urbanized Area",38300,"Pittsburgh, PA Metro Area",66086,2356285,FALSE
58060,"Momence, IL Urban Cluster",28100,"Kankakee-Bradley, IL Metro Area",3777,113449,FALSE
58033,"Molalla, OR Urban Cluster",38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",8752,2226009,FALSE
58020,"Mojave, CA Urban Cluster",12540,"Bakersfield-Delano, CA Metro Area",3236,839631,FALSE
58006,"Modesto, CA Urbanized Area",33700,"Modesto, CA Metro Area",358172,514453,FALSE
57979,"Mocksville, NC Urban Cluster",49180,"Winston-Salem, NC Metro Area",5191,477717,FALSE
57925,"Mobile, AL Urbanized Area",33660,"Mobile, AL Metro Area",326183,412992,FALSE
57871,"Moapa Valley, NV Urban Cluster",29820,"Las Vegas-Paradise, NV Metro Area",5907,1951269,FALSE
57763,"Missouri Valley, IA Urban Cluster",36540,"Omaha-Council Bluffs, NE-IA Metro Area",2819,865350,FALSE
57736,"Missoula, MT Urbanized Area",33540,"Missoula, MT Metro Area",82157,109299,FALSE
57628,"Minneapolis--St. Paul, MN--WI Urbanized Area",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2650890,3279833,FALSE
57402,"Milton, VT Urban Cluster",15540,"Burlington-South Burlington, VT Metro Area",8521,211261,FALSE
57385,"Millstadt, IL Urban Cluster",41180,"St. Louis, MO-IL Metro Area",3583,2812896,FALSE
57368,"Millsboro, PA Urban Cluster",38300,"Pittsburgh, PA Metro Area",3728,2356285,FALSE
57331,"Millinocket, ME Urban Cluster",12620,"Bangor, ME Metro Area",3976,153923,FALSE
57304,"Millersburg, PA Urban Cluster",25420,"Harrisburg-Carlisle, PA Metro Area",4540,549475,FALSE
57007,"Midland, TX Urbanized Area",33260,"Midland, TX Metro Area",117807,136872,FALSE
56953,"Middleville, MI Urban Cluster",24340,"Grand Rapids-Wyoming, MI Metro Area",3236,774160,FALSE
56899,"Middletown, NY Urbanized Area",39100,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",58381,670301,FALSE
56845,"Middletown, DE Urban Cluster",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",29415,5965343,FALSE
56710,"Middlebury, IN Urban Cluster",21140,"Elkhart-Goshen, IN Metro Area",4064,197559,FALSE
56440,"Metamora, IL Urban Cluster",37900,"Peoria, IL Metro Area",3650,379186,FALSE
56386,"Mescalero Park, TX Urban Cluster",11100,"Amarillo, TX Metro Area",3460,249881,FALSE
56278,"Mercer, PA Urban Cluster",49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",3838,565773,FALSE
56251,"Merced, CA Urbanized Area",32900,"Merced, CA Metro Area",136969,255793,FALSE
56170,"Mendota, CA Urban Cluster",23420,"Fresno, CA Metro Area",11211,930450,FALSE
56116,"Memphis, TN--MS--AR Urbanized Area",32820,"Memphis, TN-MS-AR Metro Area",1060061,1316100,FALSE
56089,"Melrose, MN Urban Cluster",41060,"St. Cloud, MN Metro Area",3121,189093,FALSE
56023,"Medical Lake, WA Urban Cluster",44060,"Spokane, WA Metro Area",4918,471221,FALSE
55981,"Medford, OR Urbanized Area",32780,"Medford, OR Metro Area",154081,203206,FALSE
55927,"Mecca, CA Urban Cluster",40140,"Riverside-San Bernardino-Ontario, CA Metro Area",11253,4224851,FALSE
52741,"McMinnville, OR Urban Cluster",38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",38970,2226009,FALSE
52687,"McKinney, TX Urbanized Area",19100,"Dallas-Fort Worth-Arlington, TX Metro Area",170030,6371773,FALSE
52606,"McGregor, TX Urban Cluster",47380,"Waco, TX Metro Area",4893,234906,FALSE
52552,"McFarland, CA Urban Cluster",12540,"Bakersfield-Delano, CA Metro Area",12826,839631,FALSE
52390,"McAllen, TX Urbanized Area",32580,"McAllen-Edinburg-Mission, TX Metro Area",728825,774769,FALSE
55860,"Mazomanie, WI Urban Cluster",31540,"Madison, WI Metro Area",2956,568593,FALSE
55792,"Mayodan, NC Urban Cluster",24660,"Greensboro-High Point, NC Metro Area",4382,723801,FALSE
55750,"Maybrook, NY Urban Cluster",39100,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",2959,670301,FALSE
55495,"Mathis, TX Urban Cluster",18580,"Corpus Christi, TX Metro Area",5936,428185,FALSE
55441,"Masontown, PA Urban Cluster",38300,"Pittsburgh, PA Metro Area",4443,2356285,FALSE
55375,"Mascoutah, IL Urban Cluster",41180,"St. Louis, MO-IL Metro Area",7368,2812896,FALSE
55333,"Marysville, WA Urbanized Area",42660,"Seattle-Tacoma-Bellevue, WA Metro Area",145140,3439809,FALSE
55306,"Marysville, OH Urban Cluster",18140,"Columbus, OH Metro Area",22348,1836536,FALSE
55225,"Martinsville, IN Urban Cluster",26900,"Indianapolis-Carmel, IN Metro Area",13276,1756241,FALSE
55198,"Martinsburg, PA Urban Cluster",11020,"Altoona, PA Metro Area",2733,127089,FALSE
55117,"Marshfield, MO Urban Cluster",44180,"Springfield, MO Metro Area",6701,436712,FALSE
55063,"Marshall, WI Urban Cluster",31540,"Madison, WI Metro Area",3834,568593,FALSE
54955,"Marshall, MI Urban Cluster",12980,"Battle Creek, MI Metro Area",7683,136146,FALSE
54739,"Marion Oaks, FL Urban Cluster",36100,"Ocala, FL Metro Area",14160,331298,FALSE
54486,"Marietta, OH--WV Urban Cluster",37620,"Parkersburg-Marietta-Vienna, WV-OH Metro Area",22428,162056,FALSE
54477,"Maricopa, AZ Urban Cluster",38060,"Phoenix-Mesa-Glendale, AZ Metro Area",42337,4192887,FALSE
54388,"Marengo, IL Urban Cluster",16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",7731,9461105,FALSE
54295,"Marana West, AZ Urban Cluster",46060,"Tucson, AZ Metro Area",5456,980263,FALSE
54145,"Manteca, CA Urbanized Area",44700,"Stockton, CA Metro Area",83578,685306,FALSE
54091,"Mansfield, OH Urbanized Area",31900,"Mansfield, OH Metro Area",75250,124475,FALSE
54064,"Mansfield, LA Urban Cluster",43340,"Shreveport-Bossier City, LA Metro Area",6061,398604,FALSE
54050,"Manor, TX Urban Cluster",12420,"Austin-Round Rock-San Marcos, TX Metro Area",5320,1716289,FALSE
54010,"Mannford, OK Urban Cluster",46140,"Tulsa, OK Metro Area",2986,937478,FALSE
53983,"Mankato, MN Urbanized Area",31860,"Mankato-North Mankato, MN Metro Area",57584,96740,FALSE
53848,"Manhattan, KS Urbanized Area",31740,"Manhattan, KS Metro Area",54622,127081,FALSE
53726,"Manchester, MD Urban Cluster",12580,"Baltimore-Towson, MD Metro Area",5319,2710489,FALSE
53578,"Malvern, OH Urban Cluster",15940,"Canton-Massillon, OH Metro Area",2800,404422,FALSE
53443,"Maiden, NC Urban Cluster",25860,"Hickory-Lenoir-Morganton, NC Metro Area",3572,365497,FALSE
53416,"Mahomet, IL Urban Cluster",16580,"Champaign-Urbana, IL Metro Area",11044,231891,FALSE
53372,"Magnolia, TX Urban Cluster",26420,"Houston-Sugar Land-Baytown, TX Metro Area",3195,5946800,FALSE
53335,"Magee, MS Urban Cluster",27140,"Jackson, MS Metro Area",4170,539057,FALSE
53173,"Madison, WV Urban Cluster",16620,"Charleston, WV Metro Area",4579,304284,FALSE
53200,"Madison, WI Urbanized Area",31540,"Madison, WI Metro Area",401661,568593,FALSE
52984,"Madera, CA Urbanized Area",31460,"Madera-Chowchilla, CA Metro Area",78413,150865,FALSE
52822,"Macon, GA Urbanized Area",31420,"Macon, GA Metro Area",137570,232293,FALSE
52660,"Mackinaw, IL Urban Cluster",37900,"Peoria, IL Metro Area",3452,379186,FALSE
52417,"Macclenny, FL Urban Cluster",27260,"Jacksonville, FL Metro Area",10984,1345596,FALSE
52352,"Mabton, WA Urban Cluster",49420,"Yakima, WA Metro Area",2534,243231,FALSE
52341,"Lytle, TX Urban Cluster",41700,"San Antonio-New Braunfels, TX Metro Area",3475,2142508,FALSE
52228,"Lynden, WA Urban Cluster",13380,"Bellingham, WA Metro Area",14533,201140,FALSE
52201,"Lynchburg, VA Urbanized Area",31340,"Lynchburg, VA Metro Area",116636,252634,FALSE
52174,"Lykens, PA Urban Cluster",25420,"Harrisburg-Carlisle, PA Metro Area",2973,549475,FALSE
52039,"Luling, TX Urban Cluster",12420,"Austin-Round Rock-San Marcos, TX Metro Area",5379,1716289,FALSE
51920,"Lucedale, MS Urban Cluster",37700,"Pascagoula, MS Metro Area",2636,162246,FALSE
51877,"Lubbock, TX Urbanized Area",31180,"Lubbock, TX Metro Area",237356,284890,FALSE
51823,"Lowell, MI Urban Cluster",24340,"Grand Rapids-Wyoming, MI Metro Area",6803,774160,FALSE
51796,"Lowell, IN Urban Cluster",16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",9844,9461105,FALSE
51755,"Louisville/Jefferson County, KY--IN Urbanized Area",31140,"Louisville/Jefferson County, KY-IN Metro Area",972546,1283566,FALSE
51634,"Louisburg, NC Urban Cluster",39580,"Raleigh-Cary, NC Metro Area",3694,1130490,FALSE
51607,"Louisburg, KS Urban Cluster",28140,"Kansas City, MO-KS Metro Area",3930,2035334,FALSE
51499,"Los Lunas, NM Urbanized Area",10740,"Albuquerque, NM Metro Area",63758,887077,FALSE
51472,"Los Banos, CA Urban Cluster",32900,"Merced, CA Metro Area",35917,255793,FALSE
51310,"Lonoke, AR Urban Cluster",30780,"Little Rock-North Little Rock-Conway, AR Metro Area",4058,699757,FALSE
51142,"Long Beach, MD Urban Cluster",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6476,5582170,FALSE
51121,"London, OH Urban Cluster",18140,"Columbus, OH Metro Area",14260,1836536,FALSE
51040,"Lompoc, CA Urbanized Area",42060,"Santa Barbara-Santa Maria-Goleta, CA Metro Area",51509,423895,FALSE
51026,"Lolo, MT Urban Cluster",33540,"Missoula, MT Metro Area",2739,109299,FALSE
50959,"Logan, UT Urbanized Area",30860,"Logan, UT-ID Metro Area",94983,125442,FALSE
50905,"Lodi, WI Urban Cluster",31540,"Madison, WI Metro Area",3014,568593,FALSE
50878,"Lodi, OH Urban Cluster",17460,"Cleveland-Elyria-Mentor, OH Metro Area",2670,2077240,FALSE
50851,"Lodi, CA Urbanized Area",44700,"Stockton, CA Metro Area",68738,685306,FALSE
50797,"Lockport, NY Urban Cluster",15380,"Buffalo-Niagara Falls, NY Metro Area",36024,1135509,FALSE
50743,"Lockhart, TX Urban Cluster",12420,"Austin-Round Rock-San Marcos, TX Metro Area",12337,1716289,FALSE
50730,"Lochbuie, CO Urban Cluster",24540,"Greeley, CO Metro Area",4120,252825,FALSE
50679,"Livonia, LA Urban Cluster",12940,"Baton Rouge, LA Metro Area",3813,802484,FALSE
50527,"Livermore, CA Urbanized Area",41860,"San Francisco-Oakland-Fremont, CA Metro Area",81624,4335391,FALSE
50473,"Live Oak (Sutter County), CA Urban Cluster",49700,"Yuba City, CA Metro Area",8547,166892,FALSE
50392,"Little Rock, AR Urbanized Area",30780,"Little Rock-North Little Rock-Conway, AR Metro Area",431388,699757,FALSE
50338,"Little Falls, NY Urban Cluster",46540,"Utica-Rome, NY Metro Area",4956,299397,FALSE
50149,"Linton, IN Urban Cluster",14020,"Bloomington, IN Metro Area",5822,192714,FALSE
50122,"Lindstrom--Chisago City, MN Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",8492,3279833,FALSE
50041,"Lindsay, CA Urban Cluster",47300,"Visalia-Porterville, CA Metro Area",14610,442179,FALSE
50014,"Lindale--Hideaway, TX Urban Cluster",46340,"Tyler, TX Metro Area",10021,209714,FALSE
49933,"Lincoln, NE Urbanized Area",30700,"Lincoln, NE Metro Area",258719,302157,FALSE
49934,"Lincoln, ND Urban Cluster",13900,"Bismarck, ND Metro Area",2992,108779,FALSE
49744,"Ligonier, PA Urban Cluster",38300,"Pittsburgh, PA Metro Area",3314,2356285,FALSE
49690,"Liberty, TX Urban Cluster",26420,"Houston-Sugar Land-Baytown, TX Metro Area",5801,5946800,FALSE
49582,"Lexington-Fayette, KY Urbanized Area",30460,"Lexington-Fayette, KY Metro Area",290263,472099,FALSE
49447,"Lexington, MO Urban Cluster",28140,"Kansas City, MO-KS Metro Area",4507,2035334,FALSE
49312,"Lewiston, ID--WA Urbanized Area",30300,"Lewiston, ID-WA Metro Area",51924,60888,FALSE
49042,"Lemoore Station, CA Urban Cluster",25260,"Hanford-Corcoran, CA Metro Area",7438,152982,FALSE
48785,"Leesburg, GA Urban Cluster",10500,"Albany, GA Metro Area",3631,157308,FALSE
48745,"Lee, MA Urban Cluster",38340,"Pittsfield, MA Metro Area",8049,131219,FALSE
48826,"Lee's Summit, MO Urbanized Area",28140,"Kansas City, MO-KS Metro Area",85081,2035334,FALSE
48691,"Lebanon, TN Urban Cluster",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",27653,1589934,FALSE
48502,"Lebanon, IN Urban Cluster",26900,"Indianapolis-Carmel, IN Metro Area",15415,1756241,FALSE
48485,"Leavenworth, WA Urban Cluster",48300,"Wenatchee-East Wenatchee, WA Metro Area",3282,110884,FALSE
48475,"Leavenworth, KS Urban Cluster",28140,"Kansas City, MO-KS Metro Area",45283,2035334,FALSE
49123,"Le Roy, IL Urban Cluster",14060,"Bloomington-Normal, IL Metro Area",3316,169572,FALSE
48394,"Lawton, OK Urbanized Area",30020,"Lawton, OK Metro Area",94457,124098,FALSE
48313,"Lawrenceburg--Greendale--Aurora, IN Urban Cluster",17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",12977,2130151,FALSE
48232,"Lawrence, KS Urbanized Area",29940,"Lawrence, KS Metro Area",88053,110826,FALSE
48151,"Laurens, SC Urban Cluster",24860,"Greenville-Mauldin-Easley, SC Metro Area",10336,636986,FALSE
48070,"Laurel, MT Urban Cluster",13740,"Billings, MT Metro Area",8505,158050,FALSE
48124,"Laurel Lake, NJ Urban Cluster",47220,"Vineland-Millville-Bridgeton, NJ Metro Area",3796,156898,FALSE
48016,"Laughlin, NV Urban Cluster",29820,"Las Vegas-Paradise, NV Metro Area",5949,1951269,FALSE
47995,"Las Vegas--Henderson, NV Urbanized Area",29820,"Las Vegas-Paradise, NV Metro Area",1886011,1951269,FALSE
47935,"Las Cruces, NM Urbanized Area",29740,"Las Cruces, NM Metro Area",128600,209233,FALSE
47854,"Laredo, TX Urbanized Area",29700,"Laredo, TX Metro Area",235730,250304,FALSE
47746,"Lapeer, MI Urban Cluster",19820,"Detroit-Warren-Livonia, MI Metro Area",13424,4296250,FALSE
47611,"Lancaster--Palmdale, CA Urbanized Area",31100,"Los Angeles-Long Beach-Santa Ana, CA Metro Area",341219,12828837,FALSE
47503,"Lancaster, OH Urban Cluster",18140,"Columbus, OH Metro Area",42557,1836536,FALSE
47422,"Lampasas, TX Urban Cluster",28660,"Killeen-Temple-Fort Hood, TX Metro Area",6080,405300,FALSE
47132,"Lakes--Knik-Fairview--Wasilla, AK Urban Cluster",11260,"Anchorage, AK Metro Area",44236,380821,FALSE
46836,"Lakeland, GA Urban Cluster",46660,"Valdosta, GA Metro Area",2910,139588,FALSE
47142,"Lake View, AL Urban Cluster",46220,"Tuscaloosa, AL Metro Area",3404,219461,FALSE
47109,"Lake Rancho Viejo, CA Urban Cluster",41740,"San Diego-Carlsbad-San Marcos, CA Metro Area",2500,3095313,FALSE
47000,"Lake Park, GA Urban Cluster",46660,"Valdosta, GA Metro Area",3367,139588,FALSE
46918,"Lake Murray North Shore, SC Urban Cluster",17900,"Columbia, SC Metro Area",3626,767598,FALSE
46909,"Lake Monticello, VA Urban Cluster",16820,"Charlottesville, VA Metro Area",9528,201559,FALSE
46895,"Lake Montezuma, AZ Urban Cluster",39140,"Prescott, AZ Metro Area",3429,211033,FALSE
46855,"Lake Los Angeles, CA Urban Cluster",31100,"Los Angeles-Long Beach-Santa Ana, CA Metro Area",11808,12828837,FALSE
46845,"Lake Land'Or, VA Urban Cluster",40060,"Richmond, VA Metro Area",6165,1258251,FALSE
46814,"Lake Lakengren, OH Urban Cluster",19380,"Dayton, OH Metro Area",3096,841502,FALSE
46801,"Lake Jackson--Angleton, TX Urbanized Area",26420,"Houston-Sugar Land-Baytown, TX Metro Area",74830,5946800,FALSE
46774,"Lake Isabella, CA Urban Cluster",12540,"Bakersfield-Delano, CA Metro Area",3271,839631,FALSE
46747,"Lake Havasu City, AZ Urbanized Area",29420,"Lake Havasu City-Kingman, AZ Metro Area",53427,200186,FALSE
46675,"Lake Crystal, MN Urban Cluster",31860,"Mankato-North Mankato, MN Metro Area",2558,96740,FALSE
46666,"Lake Conroe Westshore, TX Urban Cluster",26420,"Houston-Sugar Land-Baytown, TX Metro Area",20569,5946800,FALSE
46652,"Lake Conroe Northshore, TX Urban Cluster",26420,"Houston-Sugar Land-Baytown, TX Metro Area",2547,5946800,FALSE
46639,"Lake Conroe Eastshore, TX Urban Cluster",26420,"Houston-Sugar Land-Baytown, TX Metro Area",10121,5946800,FALSE
46531,"Lake Charles, LA Urbanized Area",29340,"Lake Charles, LA Metro Area",143440,199607,FALSE
46489,"Lake Bryant, FL Urban Cluster",36100,"Ocala, FL Metro Area",3552,331298,FALSE
46465,"Lake Arrowhead--Crestline, CA Urban Cluster",40140,"Riverside-San Bernardino-Ontario, CA Metro Area",22175,4224851,FALSE
46423,"Laie--Hauula, HI Urban Cluster",26180,"Honolulu, HI Metro Area",15071,953207,FALSE
46180,"Lago Vista, TX Urban Cluster",12420,"Austin-Round Rock-San Marcos, TX Metro Area",5281,1716289,FALSE
46099,"Lafayette, TN Urban Cluster",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",4545,1589934,FALSE
46018,"Lafayette, IN Urbanized Area",29140,"Lafayette, IN Metro Area",147725,201789,FALSE
46328,"LaGrange, OH Urban Cluster",17460,"Cleveland-Elyria-Mentor, OH Metro Area",3246,2077240,FALSE
45991,"LaFayette, GA Urban Cluster",16860,"Chattanooga, TN-GA Metro Area",7364,528143,FALSE
47758,"La Pine Northwest, OR Urban Cluster",13460,"Bend, OR Metro Area",2651,157733,FALSE
45883,"La Conner, WA Urban Cluster",34580,"Mount Vernon-Anacortes, WA Metro Area",3297,116901,FALSE
45844,"La Center, WA Urban Cluster",38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2759,2226009,FALSE
45802,"Kutztown, PA Urban Cluster",39740,"Reading, PA Metro Area",10002,411442,FALSE
45775,"Kuna, ID Urban Cluster",14260,"Boise City-Nampa, ID Metro Area",15234,616561,FALSE
45761,"Krum, TX Urban Cluster",19100,"Dallas-Fort Worth-Arlington, TX Metro Area",4173,6371773,FALSE
45478,"Kittanning--Ford City, PA Urban Cluster",38300,"Pittsburgh, PA Metro Area",14072,2356285,FALSE
45451,"Kissimmee, FL Urbanized Area",36740,"Orlando-Kissimmee-Sanford, FL Metro Area",314071,2134411,FALSE
45436,"Kirtland, NM Urban Cluster",22140,"Farmington, NM Metro Area",8200,130044,FALSE
45343,"Kingwood, WV Urban Cluster",34060,"Morgantown, WV Metro Area",3201,129709,FALSE
45127,"Kingman, AZ Urban Cluster",29420,"Lake Havasu City-Kingman, AZ Metro Area",42107,200186,FALSE
45073,"King City, CA Urban Cluster",41500,"Salinas, CA Metro Area",14529,415057,FALSE
44992,"Killeen, TX Urbanized Area",28660,"Killeen-Temple-Fort Hood, TX Metro Area",217630,405300,FALSE
44938,"Kilgore, TX Urban Cluster",30980,"Longview, TX Metro Area",15957,214369,FALSE
44803,"Keyser, WV--MD Urban Cluster",19060,"Cumberland, MD-WV Metro Area",7040,103299,FALSE
44738,"Kewaunee, WI Urban Cluster",24580,"Green Bay, WI Metro Area",2622,306241,FALSE
44722,"Kewanee, IL Urban Cluster",19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",12857,379690,FALSE
44587,"Kerman, CA Urban Cluster",23420,"Fresno, CA Metro Area",13487,930450,FALSE
44506,"Kenosha, WI--IL Urbanized Area",16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",124064,9461105,FALSE
44425,"Kennebunk, ME Urban Cluster",38860,"Portland-South Portland-Biddeford, ME Metro Area",8240,514098,FALSE
44155,"Kearney, MO Urban Cluster",28140,"Kansas City, MO-KS Metro Area",7368,2035334,FALSE
44074,"Kaufman, TX Urban Cluster",19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6268,6371773,FALSE
44047,"Kasson, MN Urban Cluster",40340,"Rochester, MN Metro Area",7048,186011,FALSE
43912,"Kansas City, MO--KS Urbanized Area",28140,"Kansas City, MO-KS Metro Area",1519417,2035334,FALSE
43885,"Kankakee, IL Urbanized Area",28100,"Kankakee-Bradley, IL Metro Area",81926,113449,FALSE
43818,"Kamas, UT Urban Cluster",41620,"Salt Lake City, UT Metro Area",2645,1124197,FALSE
43723,"Kalamazoo, MI Urbanized Area",28020,"Kalamazoo-Portage, MI Metro Area",209703,326589,FALSE
43711,"Kalama, WA Urban Cluster",31020,"Longview, WA Metro Area",3310,102410,FALSE
43669,"Kailua (Honolulu County)--Kaneohe, HI Urbanized Area",26180,"Honolulu, HI Metro Area",113682,953207,FALSE
43604,"Justin, TX Urban Cluster",19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2986,6371773,FALSE
43595,"Jupiter Farms, FL Urban Cluster",33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",10962,5564635,FALSE
43534,"Junction City, OR Urban Cluster",21660,"Eugene-Springfield, OR Metro Area",5966,351715,FALSE
43507,"Junction City, KS Urban Cluster",31740,"Manhattan, KS Metro Area",38787,127081,FALSE
43453,"Juana D僘z, PR Urbanized Area",38660,"Ponce, PR Metro Area",80928,243147,FALSE
43426,"Jordan, MN Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",5207,3279833,FALSE
43399,"Joplin, MO Urbanized Area",27900,"Joplin, MO Metro Area",82775,175518,FALSE
43345,"Jonesboro, AR Urbanized Area",27860,"Jonesboro, AR Metro Area",65419,121026,FALSE
43383,"Jones Creek, TX Urban Cluster",26420,"Houston-Sugar Land-Baytown, TX Metro Area",3182,5946800,FALSE
43264,"Johnstown, OH Urban Cluster",18140,"Columbus, OH Metro Area",4523,1836536,FALSE
43253,"Johnstown, CO Urban Cluster",24540,"Greeley, CO Metro Area",13693,252825,FALSE
43129,"Jim Thorpe, PA Urban Cluster",10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",5594,821173,FALSE
43075,"Jerseyville, IL Urban Cluster",41180,"St. Louis, MO-IL Metro Area",8989,2812896,FALSE
42978,"Jefferson Township North, NJ Urban Cluster",35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",13714,18897109,FALSE
42967,"Jefferson City, MO Urbanized Area",27620,"Jefferson City, MO Metro Area",58533,149807,FALSE
42832,"Jean Lafitte, LA Urban Cluster",35380,"New Orleans-Metairie-Kenner, LA Metro Area",2700,1167764,FALSE
42724,"Jasper, TN Urban Cluster",16860,"Chattanooga, TN-GA Metro Area",3281,528143,FALSE
42670,"Jasper, GA Urban Cluster",12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5909,5268860,FALSE
42616,"Jasper, AL Urban Cluster",13820,"Birmingham-Hoover, AL Metro Area",14156,1128047,FALSE
42562,"Janesville, WI Urbanized Area",27500,"Janesville, WI Metro Area",69658,160331,FALSE
42535,"Jamestown, OH Urban Cluster",19380,"Dayton, OH Metro Area",3769,841502,FALSE
