,Trs_Id,mode_cd,service_cd,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MODE
140,2158,MB,DO,1.0,1.0,1.0,,,,,,,,,,,,,,,Bus
141,2159,DR,DO,166.0,180.0,127.0,153.0,160.0,120.0,125,,,,,,,,,,,DemandResponse
142,2160,MB,DO,17.0,20.0,6.0,10.0,10.0,7.0,93,9,11,14,12.0,,,,,,,Bus
143,2161,MB,DO,29.0,17.0,15.0,12.0,19.0,22.0,197,173,186,171,141.0,,,,,,,Bus
144,2162,MB,DO,62.0,27.0,,,,,,,,,,,,,,,,Bus
145,2163,MB,DO,94.0,15.0,7.0,13.0,10.0,31.0,205,14,13,19,10.0,,,,,,,Bus
146,2164,MB,DO,5.0,13.0,11.0,,,,,,,,,,,,,,,Bus
147,2165,MB,DO,260.0,65.0,42.0,25.0,32.0,55.0,52,22,18,6,7.0,,,,,,,Bus
148,2166,MB,DO,15.0,80.0,15.0,13.0,21.0,18.0,275,69,67,68,73.0,74.0,52.0,41.0,46.0,51.0,50.0,Bus
149,2167,MB,DO,28.0,,,,,,,,,,,,,,,,,Bus
150,2168,MB,DO,4.0,21.0,24.0,22.0,25.0,31.0,122,17,51,32,,,,,,,,Bus
151,2169,MB,DO,8.0,11.0,8.0,12.0,14.0,10.0,247,238,221,240,257.0,,,,,,,Bus
152,2172,MB,DO,8.0,97.0,104.0,66.0,40.0,51.0,87,51,65,67,73.0,85.0,100.0,53.0,,,,Bus
153,2173,DR,DO,751.0,516.0,610.0,994.0,1088.0,,,,,,,,,,,,,DemandResponse
154,2175,MB,DO,3.0,,,,,,,,,,,,,,,,,Bus
155,2177,MB,DO,79.0,27.0,30.0,51.0,63.0,70.0,315,244,97,,,,,,,,,Bus
156,2178,MB,DO,6.0,13.0,33.0,37.0,54.0,52.0,62,57,82,69,68.0,67.0,74.0,92.0,97.0,79.0,124.0,Bus
157,2179,MB,DO,1.0,1.0,1.0,1.0,1.0,1.0,7,21,20,17,,,,,,,,Bus
158,3001,DR,DO,0.0,3.0,1.0,2.0,0.0,0.0,0,1,2,5,,2.0,2.0,3.0,3.0,2.0,1.0,DemandResponse
159,3001,MB,DO,16.0,12.0,11.0,8.0,10.0,5.0,9,286,178,338,370.0,250.0,208.0,294.0,283.0,296.0,259.0,Bus
160,3002,DR,DO,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,2,3.0,4.0,5.0,2.0,3.0,5.0,5.0,DemandResponse
161,3002,MB,DO,0.0,0.0,2.0,0.0,0.0,0.0,0,2,0,4,8.0,5.0,92.0,2.0,2.0,2.0,12.0,Bus
162,3003,DR,DO,0.0,0.0,,,,,,,1,,,,,,,,,DemandResponse
163,3003,MB,DO,1.0,2.0,,,,,,,6,,,,,,,,,Bus
164,3006,MB,DO,1224.0,1303.0,950.0,1045.0,1258.0,1307.0,1398,1230,1165,1112,1081.0,967.0,797.0,543.0,767.0,764.0,854.0,Bus
165,3007,MB,DO,6.0,5.0,7.0,13.0,47.0,4.0,4,4,2,5,0.0,1.0,2.0,2.0,2.0,1.0,0.0,Bus
166,3008,DR,DO,0.0,0.0,0.0,0.0,10.0,37.0,8,21,28,15,1.0,1.0,0.0,1.0,1.0,0.0,1.0,DemandResponse
167,3008,MB,DO,201.0,297.0,292.0,319.0,424.0,983.0,171,162,130,98,1.0,2.0,5.0,6.0,12.0,23.0,33.0,Bus
168,3009,MB,DO,42.0,46.0,48.0,39.0,64.0,71.0,36,27,7,,,,,,,,,Bus
169,3010,MB,DO,174.0,173.0,221.0,202.0,50.0,37.0,36,245,77,24,22.0,20.0,24.0,28.0,32.0,46.0,70.0,Bus
170,3011,DR,DO,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,,1.0,0.0,1.0,2.0,0.0,DemandResponse
171,3011,MB,DO,147.0,172.0,176.0,168.0,127.0,110.0,71,80,66,45,40.0,54.0,43.0,47.0,23.0,40.0,63.0,Bus
172,3012,DR,DO,0.0,0.0,0.0,0.0,0.0,1.0,0,3,13,2,8.0,8.0,5.0,9.0,44.0,13.0,24.0,DemandResponse
173,3012,IP,DO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1.0,4.0,6.0,9.0,8.0,12.0,0.0,Rail
174,3012,MB,DO,88.0,81.0,7.0,8.0,25.0,57.0,53,64,107,175,173.0,129.0,62.0,233.0,201.0,123.0,276.0,Bus
175,3013,DR,DO,4.0,6.0,42.0,9.0,17.0,12.0,9,17,17,15,12.0,17.0,19.0,21.0,42.0,37.0,41.0,DemandResponse
176,3013,MB,DO,185.0,99.0,18.0,56.0,70.0,167.0,176,168,209,222,111.0,125.0,257.0,248.0,270.0,383.0,321.0,Bus
177,3014,DR,DO,47.0,43.0,65.0,43.0,39.0,45.0,45,59,35,39,48.0,37.0,12.0,17.0,11.0,6.0,3.0,DemandResponse
178,3014,MB,DO,137.0,258.0,240.0,290.0,280.0,286.0,344,349,379,458,455.0,244.0,159.0,120.0,242.0,235.0,313.0,Bus
179,3015,MB,DO,249.0,273.0,314.0,225.0,164.0,156.0,197,245,201,186,170.0,193.0,185.0,182.0,229.0,137.0,137.0,Bus
180,3018,MB,DO,244.0,341.0,222.0,230.0,255.0,206.0,123,135,152,182,169.0,154.0,203.0,260.0,266.0,,,Bus
181,3019,CR,DO,250.0,214.0,84.0,64.0,22.0,13.0,31,7,9,15,36.0,12.0,15.0,27.0,8.0,56.0,85.0,Rail
