,Abbreviation,State,Cluster,MSA_Name,MNAME
203,ANG ,TX,3,San Angelo ,"San Angelo, TX Metro Area"
204,SAV ,GA,3,Savannah ,"Savannah, GA Metro Area"
205,VER ,FL,3,Sebastian-Vero Beach ,"Sebastian-Vero Beach, FL Metro Area"
206,SHE ,WI,3,Sheboygan ,"Sheboygan, WI Metro Area"
207,SHR ,LA,3,Shreveport-Bossier City ,"Shreveport-Bossier City, LA Metro Area"
208,SOM ,PA,3,Somerset ,"Somerset, PA Metro Area"
209,SBN ,IN-MI,3,South Bend-Mishawaka ,"South Bend-Mishawaka, IN-MI Metro Area"
210,SPI ,IL,3,Springfield ,"Springfield, IL Metro Area"
211,SPR ,MA,3,Springfield ,"Springfield, MA Metro Area"
212,SUM ,SC,3,Sumter ,"Sumter, SC Metro Area"
213,TAL ,FL,3,Tallahassee ,"Tallahassee, FL Metro Area"
214,TER ,IN,3,Terre Haute ,"Terre Haute, IN Metro Area"
215,TOP ,KS,3,Topeka ,"Topeka, KS Metro Area"
216,TOR ,CT,3,Torrington ,"Torrington, CT Metro Area"
217,WACO ,TX,3,Waco ,"Waco, TX Metro Area"
218,WEN ,WA,3,Wenatchee ,"Wenatchee, WA Metro Area"
219,WIN ,NC,3,Winston-Salem ,"Winston-Salem, NC Metro Area"
220,YNG ,PA,3,Youngstown-Warren-Boardman ,"Youngstown-Warren-Boardman, PA Metro Area"
221,YUBA ,CA,3,Yuba City ,"Yuba City, CA Metro Area"
222,ATL ,GA,4,Atlanta-Sandy Springs-Roswell ,"Atlanta-Sandy Springs-Roswell, GA Metro Area"
223,DAL ,TX,4,Dallas-Fort Worth-Arlington ,"Dallas-Fort Worth-Arlington, TX Metro Area"
224,DEN ,CO,4,Denver-Aurora-Lakewood ,"Denver-Aurora-Lakewood, CO Metro Area"
225,HOU ,TX,4,Houston-The Woodlands-Sugar Land ,"Houston-The Woodlands-Sugar Land, TX Metro Area"
226,LV ,NV,4,Las Vegas-Henderson-Paradise ,"Las Vegas-Henderson-Paradise, NV Metro Area"
227,PHO ,AZ,4,Phoenix-Mesa-Scottsdale ,"Phoenix-Mesa-Scottsdale, AZ Metro Area"
228,POR ,OR-WA,4,Portland-Vancouver-Hillsboro ,"Portland-Vancouver-Hillsboro, OR-WA Metro Area"
229,ONT ,CA,4,Riverside-San Bernardino-Ontario ,"Riverside-San Bernardino-Ontario, CA Metro Area"
230,SAC ,CA,4,Sacramento--Roseville--Arden-Arcade ,"Sacramento--Roseville--Arden-Arcade, CA Metro Area"
231,SD ,CA,4,San Diego-Carlsbad ,"San Diego-Carlsbad, CA Metro Area"
232,SJ ,CA,4,San Jose-Sunnyvale-Santa Clara ,"San Jose-Sunnyvale-Santa Clara, CA Metro Area"
233,BOS ,MA-NH,5,Boston-Cambridge-Newton ,"Boston-Cambridge-Newton, MA-NH Metro Area"
234,CHI ,IL-WI,5,Chicago-Naperville-Elgin ,"Chicago-Naperville-Elgin, IL-WI Metro Area"
235,LA ,CA,5,Los Angeles-Long Beach-Anaheim ,"Los Angeles-Long Beach-Anaheim, CA Metro Area"
236,MIA ,FL,5,Miami-Fort Lauderdale-West Palm Beach ,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area"
237,PHL ,DE-PA-MD,5,Philadelphia-Camden-Wilmington ,"Philadelphia-Camden-Wilmington, DE-PA-MD Metro Area"
238,SF ,CA,5,San Francisco-Oakland-Hayward ,"San Francisco-Oakland-Hayward, CA Metro Area"
239,SEA ,WA,5,Seattle-Tacoma-Bellevue ,"Seattle-Tacoma-Bellevue, WA Metro Area"
240,DC ,DC-MD-VA-WV,5,Washington-Arlington-Alexandria ,"Washington-Arlington-Alexandria, DC-MD-VA-WV Metro Area"
