MSA_NAME_CLUSTERS,CBSA_NAME,CBSA_ID,cbsa_name,State,Month,Year,Link
Jacksonville,"Jacksonville, FL",27260,"Jacksonville, FL",FL,Jan,2014,https://newsroom.uber.com/jacksonville/jacksonville-your-uber-is-arriving-now/
Johnstown,"Johnstown, PA",27780,"Johnstown, PA",PA,Aug,2016,http://wjactv.com/news/local/uber-comes-to-johnstown
Kahului-Wailuku-Lahaina,"Kahului-Wailuku-Lahaina, HI",27980,"Kahului-Wailuku, HI",HI,,,
Kalamazoo-Portage,"Kalamazoo-Portage, MI",28020,"Kalamazoo-Portage, MI",MI,Jul,2014,http://www.usatoday.com/story/money/business/2014/07/25/uber-michigan/13174947/
Kankakee,"Kankakee, IL",28100,"Kankakee-Bradley, IL",IL,Jun,2015,https://www.daily-journal.com/news/local/uber-arrives-in-kankakee-county/article_1595059f-ebb3-5789-af09-b53a66fc7c4c.html
Kansas City,"Kansas City, KS",28140,"Kansas City, MO-KS",KS,May,2014,https://newsroom.uber.com/kc/kc-your-uber-has-arrived-and-its-free/
Kennewick-Richland,"Kennewick-Richland, WA",28420,"Kennewick-Pasco-Richland, WA",WA,Dec,2016,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=2ahUKEwjeocPK2czkAhUJVK0KHWsWCj8QFjACegQIDBAG&url=https%3A%2F%2Fwww.uber.com%2Fblog%2Fwashington%2Ftri-cities-your-uber-has-arrived%2F&usg=AOvVaw1jZgSPS8EVlyxat5raaajG
Killeen-Temple,"Killeen-Temple, TX",28660,"Killeen-Temple-Fort Hood, TX",TX,Jul,2015,https://newsroom.uber.com/us-texas/uber-killeen/
Knoxville,"Knoxville, TN",28940,"Knoxville, TN",TN,Aug,2014,http://www.local8now.com/home/headlines/Uber-expands-ride-sharing-services-to-Knoxville-273042271.html
Kokomo,"Kokomo, IN",29020,"Kokomo, IN",IN,,,
La Crosse-Onalaska,"La Crosse-Onalaska, WI-MN",29100,"La Crosse, WI-MN",WI-MN,Feb,2017,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=8&cad=rja&uact=8&ved=2ahUKEwj6xZiA3MzkAhUBeKwKHY9aBtwQFjAHegQIARAB&url=https%3A%2F%2Flacrossetribune.com%2Fnews%2Flocal%2Fcolumn%2Fcatching-a-ride-ride-share-company-lyft-launches-in-la%2Farticle_707951fa-a12d-5087-94b0-958b4e6b5578.html&usg=AOvVaw14RFxO9XoAc4zipDeCPKCO
Lafayette,"Lafayette, LA",29180,"Lafayette, LA",LA,Jan,2015,http://theadvocate.com/news/11470712-123/uber-launches-ride-share-service-in
Lafayette-West Lafayette,"Lafayette-West Lafayette, IN",29140,"Lafayette, IN",IN,Jan,2015,http://theadvocate.com/news/11470712-123/uber-launches-ride-share-service-in
Lakeland-Winter Haven,"Lakeland-Winter Haven, FL",29140,"Lafayette, IN",FL,Dec,2014,https://www.theledger.com/news/20141204/smartphone-app-uber-car-service-launches-in-the-lakeland-area/1
Lancaster,"Lancaster, PA",29540,"Lancaster, PA",PA,Mar,2015,https://newsroom.uber.com/us-pennsylvania/lancaster-york-and-reading-your-uber-has-arrived/
Lansing-East Lansing,"Lansing-East Lansing, MI",29620,"Lansing-East Lansing, MI",MI,Jul,2014,http://www.wilx.com/home/headlines/Uber-Launches-Ride-Share-Service-In-Lansing-Area-268528422.html
Laredo,"Laredo, TX",29700,"Laredo, TX",TX,July,2017,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwjdmLqizczkAhVQL6wKHawvAH4QFjAAegQIARAB&url=https%3A%2F%2Fwww.lmtonline.com%2Flocal%2Farticle%2FUber-launches-in-Laredo-11285780.php&usg=AOvVaw0G9uJ-GbZ9VmbyhIo3LzNu
Las Vegas-Henderson-Paradise,"Las Vegas-Henderson-Paradise, NV",29820,"Las Vegas-Paradise, NV",NV,Sept,2015,https://newsroom.uber.com/vegas/las-vegas-were-here/
Lawrence,"Lawrence, KS",29940,"Lawrence, KS",KS,Apr,2015,http://www.kansas.com/news/politics-government/article19297086.html
Lebanon,"Lebanon, PA",30140,"Lebanon, PA",PA,Nov,2016,https://www.ldnews.com/story/news/local/2016/11/11/uber-comes-lebanon-county-lyft-ride-sharing/91874380/
Lexington-Fayette,"Lexington-Fayette, KY",30460,"Lexington-Fayette, KY",KY,Jun,2014,https://newsroom.uber.com/lexington/uber-lexington-launches-with-free-rides-for-2-weeks/
Lincoln,"Lincoln, NE",30700,"Lincoln, NE",NE,Aug,2014,http://ubernebraska.com/lincoln/
Little Rock-North Little Rock-Conway,"Little Rock-North Little Rock-Conway, AR",30780,"Little Rock-North Little Rock-Conway, AR",AR,Nov,2014,https://newsroom.uber.com/arkansas/little-rock-your-uber-is-arriving-now/
Logan,"Logan, ID",30860,"Logan, UT-ID",ID,Feb,2017,https://www.cachevalleydaily.com/news/archive/2017/02/22/33425a3c-f877-11e6-8ee3-1f9c7a0d37dd/
Longview,"Longview, WA",31020,"Longview, WA",WA,Mar,2017,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=24&cad=rja&uact=8&ved=2ahUKEwiS-N7h2czkAhUJXKwKHfOCBvYQFjAXegQICRAB&url=https%3A%2F%2Fbigislandnow.com%2F2017%2F03%2F22%2Fneed-a-lyft-new-rideshare-company-begins-service-on-big-island%2F&usg=AOvVaw14t2rndSMWNzE7xLCSrKTf
Los Angeles-Long Beach-Anaheim,"Los Angeles-Long Beach-Anaheim, CA",31100,"Los Angeles-Long Beach-Santa Ana, CA",CA,Mar,2012,https://newsroom.uber.com/la/uber-la-officially-launched/
Louisville/Jefferson County,"Louisville/Jefferson County, IN",31140,"Louisville/Jefferson County, KY-IN",IN,May,2014,https://blog.lyft.com/posts/2014/4/23/lyft-launches-24-cities-in-24-hours-on-the-24th
Lubbock,"Lubbock, TX",31180,"Lubbock, TX",TX,Jun,2014,https://newsroom.uber.com/uber-lands-in-lubbock-with-two-weeks-of-free-rides/
Lynchburg,"Lynchburg, VA",31340,"Lynchburg, VA",VA,Dec,2015,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwiI3vL32MzkAhUD1qwKHWxNDWUQFjAAegQIAhAB&url=https%3A%2F%2Fwww.newsadvance.com%2Fbusiness%2Fall-hail-uber-car-service-comes-to-lynchburg%2Farticle_38bce018-8344-5db8-929a-0b13b13ecfaf.html&usg=AOvVaw25K0tDZTrNbSYChO1inZxY
Madison,"Madison, WI",31540,"Madison, WI",WI,Mar,2014,https://newsroom.uber.com/madison/madison-your-uber-has-arrived/
Manchester-Nashua,"Manchester-Nashua, NH",31700,"Manchester-Nashua, NH",NH,Oct,2014,https://www.nhpr.org/post/ride-sharing-service-uber-comes-manchester
