NTD_ID,MODE,SERVICE_ID,2002
4040,MB,DO,"5,471,126.00"
4041,DR,DO,"100,372.00"
4041,MB,DO,"6,194,741.00"
4041,VP,PT,0
4042,DR,PT,"309,835.00"
4042,MB,PT,"1,946,886.00"
4043,DR,PT,"91,304.00"
4043,MB,DO,"942,233.00"
4044,DR,DO,"141,529.00"
4044,MB,DO,"258,761.00"
4046,DR,DO,"54,819.00"
4046,DR,PT,"60,906.00"
4046,MB,DO,"686,251.00"
4047,DR,DO,"22,182.00"
4047,MB,DO,"721,799.00"
4051,DR,DO,"5,268.00"
4051,MB,DO,"1,007,639.00"
4053,DR,DO,0
4053,MB,DO,"424,451.00"
4054,DR,DO,"66,239.00"
4054,MB,DO,"117,805.00"
4056,DR,DO,"4,720,834.00"
4056,MB,DO,"44,626.00"
4057,DR,DO,"174,821.00"
4057,MB,DO,"217,343.00"
4058,DR,DO,"38,130.00"
4058,MB,DO,"439,411.00"
4063,DR,DO,"244,455.00"
4063,DR,PT,"2,268,535.00"
4063,MB,DO,"159,855.00"
4063,VP,PT,"296,152.00"
4068,DR,DO,"37,371.00"
4069,DR,PT,
4069,MB,PT,
4070,FB,DO,"1,582,116.00"
4071,DR,DO,"174,329.00"
4071,DR,PT,0
4071,MB,DO,"98,090.00"
4073,DR,PT,"15,451.00"
4073,MB,PT,"20,892.00"
4074,DR,DO,"29,572.00"
4074,DR,PT,"22,887.00"
4074,MB,DO,"130,175.00"
4077,CR,PT,"6,029,791.00"
4078,DR,PT,"123,721.00"
4078,MB,PT,"2,350,368.00"
4080,DR,DO,"28,622.00"
4080,MB,DO,"23,764.00"
4082,VP,DO,"60,636.00"
4085,DR,DO,"811,394.00"
4085,MB,DO,"37,263.00"
4086,DR,DO,"120,092.00"
4086,MB,DO,"7,807,782.00"
4086,MB,PT,"1,172,350.00"
4087,DR,PT,"99,339.00"
4087,MB,PT,"1,789,487.00"
4088,DR,PT,"606,144.00"
4092,DR,DO,"55,310.00"
4092,MB,DO,"251,155.00"
4093,DR,PT,"119,475.00"
4093,MB,PT,"1,040,787.00"
4094,MB,PT,"2,445,028.00"
4097,DR,DO,"150,365.00"
4097,MB,DO,462
4099,DR,DO,"94,102.00"
4100,DR,DO,"18,992.00"
4100,MB,DO,"106,070.00"
4100,VP,DO,"4,780.00"
4101,MB,DO,"185,525.00"
4102,DR,DO,"156,664.00"
4102,MB,DO,"15,214.00"
4103,DR,DO,"367,810.00"
4104,DR,DO,"29,866.00"
4104,MB,DO,"3,810.00"
4105,PB,PT,"25,632,826.00"
4108,MB,DO,"534,627.00"
4108,VP,DO,"392,300.00"
4110,DR,PT,"139,517.00"
4110,MB,PT,"2,155,879.00"
4113,DR,DO,"79,051.00"
4120,DR,PT,"10,056.00"
4120,MB,PT,"130,452.00"
4127,DR,DO,"5,933.00"
4127,DR,PT,"55,763.00"
4127,MB,DO,"8,628.00"
4127,MB,PT,"39,250.00"
4128,DR,PT,"558,013.00"
4128,MB,PT,"12,693.00"
4129,DR,DO,0
4129,DR,PT,"92,953.00"
4130,MB,DO,"847,844.00"
4131,DR,DO,"11,537.00"
4134,DR,PT,"2,668,491.00"
4135,MB,PT,"488,116.00"
4135,VP,PT,"758,695.00"
4138,MB,PT,"587,299.00"
5001,DR,PT,"240,325.00"
5001,MB,DO,"435,571.00"
5001,MB,PT,0
5002,DR,PT,"212,760.00"
5002,MB,DO,"650,123.00"
5003,DR,PT,0
5003,LR,DO,"10,500.00"
5003,MB,DO,"494,851.00"
5004,DR,PT,"422,457.00"
5004,MB,DO,"348,340.00"
5005,DR,DO,"153,839.00"
5005,DR,PT,"93,183.00"
5005,MB,DO,"6,172,079.00"
5006,DR,PT,"16,540.00"
5006,MB,DO,"925,170.00"
5008,DR,PT,"2,318,623.00"
5008,MB,DO,"36,288,713.00"
5008,VP,DO,"80,283.00"
5009,DR,PT,"187,779.00"
5009,MB,DO,"259,644.00"
5009,MB,PT,"20,508.00"
5010,DR,DO,"2,763,132.00"
5010,DR,PT,"93,932.00"
5010,MB,DO,"615,735.00"
5011,DR,DO,"166,465.00"
5011,MB,DO,"801,376.00"
5012,DR,PT,"269,766.00"
5012,MB,DO,"18,448,823.00"
5015,DR,DO,"176,724.00"
5015,DR,PT,"58,479.00"
5015,HR,DO,"4,922,546.00"
5015,LR,DO,"2,094,546.00"
5015,MB,DO,"30,933,013.00"
5016,DR,PT,"101,352.00"
