5 digit NTD ID,4 digit NTD ID,Agency,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population
20155,2155,Cumberland County Office on Aging,Bridgeton,NJ,290,"Vineland, NJ",62,"88,724",489,"146,438"
20158,2158,Tioga County,Owego,NY,210,"Binghamton, NY-PA",74,"158,084",65,"52,337"
20159,2159,"Atlantic Paratrans of NYC, Inc.",New York,CT,1,"New York-Newark, NY-NJ-CT",,,,
20160,2160,"Community Transit, Inc.",Paramus,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",89,"324,278"
20161,2161,DeCamp Bus Lines,Montclair,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",74,"892,714"
20162,2162,Lafeyette-Greenville IBOA,Jersey City,NJ,1,"New York-Newark, NY-NJ-CT","3,353","17,799,861","2,898","5,443,000"
20163,2163,"Lakeland Bus Lines, Inc.",Dover,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",250,"527,906"
20164,2164,Leisure Line,Paramus,NJ,1,"New York-Newark, NY-NJ-CT","3,353","17,799,861","2,898","5,443,000"
20165,2165,"Olympia Trails Bus Company, Inc.",Elizabeth,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",27,"16,953"
20166,2166,"Orange-Newark-Elizabeth, Inc.",Elizabeth,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",42,"573,383"
20167,2167,"South Orange Avenue IBOA, c/o: NJ Transit, Carrier Admin.",Newark,NJ,1,"New York-Newark, NY-NJ-CT","3,353","17,799,861","2,898","5,443"
20168,2168,Trans-Hudson Express,Elizabeth,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295","2,898","5,443,000"
20169,2169,"Trans-Bridge Lines, Inc.",Bethlehem,PA,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",353,"194,009"
20170,2170,"Vanpool of New Jersey, Inc.",Newark,NJ,1,"New York City, Newark, NY-NJ","2,967","16,044,012","2,898","5,443"
20171,2171,"Private One of New York, LLC, dba: New York Airport Service",Brooklyn,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295","2,898","5,443,000"
20172,2172,"Centro of Oswego, Inc.",Syracuse,NY,90,"Syracuse, NY",195,"412,317",92,"89,591"
20175,2175,Private Transportation Corporation,Brooklyn,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",71,"2,465,326"
