,NTD_ID,4 digit NTDID,Legacy NTD ID,Agency_x,HQ City,HQ State,UZA Name,UZA,UZA Area SQ Miles,UZA Population,MODE,SERVICE_ID,RailBus,Service Area SQ Miles,Service Area Population,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
397,21,21,21,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",275,48,"114,473",VP,DO,DemandResponse,776,"212,357",0.0,0.0,0.0,0.0,186338.0,225127.0,136742.0,174801.0,216962.0,270074.0,233308.0,199396.0,177809.0
402,21,21,21,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",275,48,"114,473",DT,PT,DemandResponse,776,"212,357",0.0,0.0,0.0,0.0,0.0,101.0,133.0,174.0,137.0,83.0,84.0,107.0,98.0
407,22,22,22,City of Pocatello - Pocatello Regional Transit,Pocatello,ID,"Pocatello, ID",395,31,"69,809",DR,DO,DemandResponse,27,"81,730",111630.0,14409.0,28001.0,35261.0,37785.0,49821.0,51253.0,51792.0,47470.0,36919.0,38546.0,40163.0,35700.0
409,22,22,22,City of Pocatello - Pocatello Regional Transit,Pocatello,ID,"Pocatello, ID",395,31,"69,809",MB,DO,Bus,27,"81,730",52155.0,52530.0,47907.0,55509.0,69113.0,76710.0,85029.0,79575.0,90075.0,89816.0,93336.0,86224.0,96798.0
411,22,0,0,0,Pocatello,ID,"Pocatello, ID",395,31,"69,809",MB,PT,Bus,27,"81,730",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,23,0,0,0,Seattle,WA,"Seattle, WA",14,"1,010","3,059,393",MO,PT,Rail,83,"495,500",2153805.0,370558.0,2735891.0,2707888.0,2950195.0,3053436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,23,23,23,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,"1,010","3,059,393",MG,PT,Rail,83,"495,500",0.0,0.0,0.0,0.0,0.0,0.0,3307997.0,4074219.0,3991266.0,4110232.0,4334884.0,4212142.0,4050470.0
417,24,24,24,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",24,524,"1,849,898",DR,DO,DemandResponse,142,"390,611",158469.0,241677.0,234627.0,266498.0,230340.0,336942.0,330428.0,340685.0,378198.0,400362.0,399531.0,398374.0,432468.0
421,24,24,24,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",24,524,"1,849,898",MB,DO,Bus,142,"390,611",4606865.0,4818489.0,5345781.0,6346589.0,6670570.0,6793511.0,7295061.0,7204993.0,3920025.0,3948890.0,4273160.0,3432785.0,2912059.0
425,24,24,24,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",24,524,"1,849,898",VP,DO,DemandResponse,142,"390,611",1107.0,0.0,0.0,0.0,37348.0,46697.0,67246.0,158695.0,199799.0,221424.0,209957.0,221495.0,187394.0
