UZA Name,RailBus,NTD_ID,UZA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Bismarck, ND",DemandResponse,160038,698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377992.0,412473.0,422903.0,443872.0
"Blacksburg, VA",Bus,30091,328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3433680.0,3304739.0,3265108.0,1928462.0
"Blacksburg, VA",DemandResponse,30091,328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26060.0,34792.0,27272.0,11089.0
"Bloomington, IN",Bus,50110,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1557842.0,1582589.0,1609834.0,1598610.0
"Bloomington, IN",DemandResponse,50110,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53050.0,62086.0,63902.0,70020.0
"Bloomington-Normal, IL",Bus,50047,243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1252642.0,1303049.0,1280909.0,1127929.0
"Bloomington-Normal, IL",DemandResponse,50047,243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118962.0,130418.0,132776.0,123656.0
"Boise City, ID",Bus,22,216,688490.0,639037.0,698804.0,882927.0,895598.0,894691.0,893179.0,862227.0,906723.0,877868.0,931936.0,790719.0,841606.0
"Boise City, ID",DemandResponse,437,324,65192.0,67289.0,77641.0,80360.0,73922.0,68022.0,79017.0,84318.0,86154.0,93103.0,88536.0,94984.0,1075854.0
"Bonita Springs, FL",Bus,40140,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215109.0,1142559.0,945971.0,888701.0
"Bonita Springs, FL",DemandResponse,40140,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212950.0,249802.0,207159.0,221625.0
"Boston, MA-NH-RI",Bus,110335,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104305337.0,117297465.0,113555009.0,116825372.0
"Boston, MA-NH-RI",DemandResponse,80330,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8201816.0,8406666.0,7984874.0,7813427.0
"Boston, MA-NH-RI",Other,10003,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8281636.0,9032124.0,9882834.0,12133183.0
"Boston, MA-NH-RI",Rail,30009,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470476398.0,483293757.0,503073437.0,530252510.0
"Bowling Green, KY",Bus,40184,364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54964.0,61796.0,90584.0,93618.0
"Bowling Green, KY",DemandResponse,40184,364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33172.0,31485.0,25111.0,24192.0
"Bremerton, WA",Bus,20,180,1897753.0,2657745.0,2769629.0,3414453.0,4649636.0,5935508.0,5758992.0,5314319.0,5145340.0,5027829.0,4866090.0,4147052.0,4023907.0
