UZA Name,RailBus,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,NTD_ID,UZA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Atlantic City, NJ",DemandResponse,125,"248,402",567,"274,219",22398,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Auburn, AL",Bus,50,"74,741",609,"193,194",44146,748.0,23845.0,38882.0,14025.0,10982.0,0.0,0.0,0.0,0.0,0.0,17019.0,14426.0,15622.0,14049.0
"Auburn, AL",DemandResponse,50,"74,741",609,"193,194",44146,748.0,264499.0,337259.0,346258.0,349467.0,327411.0,314229.0,37779.0,23241.0,88834.0,168080.0,167428.0,123389.0,65407.0
"Augusta-Richmond County, GA-SC",Bus,260,"386,787",25,"201,793",48069,294.0,640042.0,580381.0,544398.0,656280.0,617983.0,647642.0,514648.0,621874.0,619363.0,733183.0,640724.0,615927.0,608380.0
"Augusta-Richmond County, GA-SC",DemandResponse,260,"386,787",25,"201,793",48069,294.0,37667.0,43300.0,40248.0,35779.0,50986.0,51739.0,53005.0,50657.0,47269.0,52037.0,60107.0,68621.0,60831.0
"Austin, TX",Bus,523,"1,362,416",535,"1,163,204",144288,222.0,4274901.0,4920868.0,11015534.0,12383385.0,13168501.0,13885353.0,15498247.0,16821805.0,17358518.0,18848902.0,19759548.0,19723038.0,19210197.0
"Austin, TX",DemandResponse,523,"1,362,416",535,"1,163,204",264384,296.0,531604.0,611214.0,682241.0,673849.0,980510.0,1202787.0,1232309.0,1258477.0,1142305.0,1127118.0,1721054.0,1693653.0,1852181.0
"Austin, TX",Other,523,"1,362,416",535,"1,163,204",66096,74.0,0.0,0.0,0.0,0.0,0.0,0.0,954666.0,2265523.0,3358278.0,3136133.0,2487225.0,2135825.0,1974227.0
"Austin, TX",Rail,523,"1,362,416",535,"1,163,204",6048,37.0,0.0,0.0,0.0,0.0,0.0,31431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bakersfield, CA",Bus,138,"523,994",111,"495,019",99008,158.0,3645708.0,3865138.0,4106382.0,4413165.0,4714667.0,4857638.0,5151986.0,5311836.0,4816882.0,4586294.0,4070003.0,4694269.0,4329747.0
"Bakersfield, CA",DemandResponse,138,"523,994",111,"495,019",99008,158.0,78902.0,94652.0,101131.0,97002.0,106174.0,124624.0,136119.0,131649.0,126693.0,128334.0,122459.0,158102.0,164644.0
