,record,lma_title,Area_Code,Series ID,Month-Year,Total_Labor
31119,1138,"Topeka, KS Metropolitan Statistical Area",LAUMT2045820000000,LAUMT204582000000006,"Sep
2017",118908.0
31120,1147,"Wichita, KS Metropolitan Statistical Area",LAUMT2048620000000,LAUMT204862000000006,"Sep
2017",304465.0
31121,1184,"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area",LAUMT2121060000000,LAUMT212106000000006,"Sep
2017",66776.0
31122,1212,"Lexington-Fayette, KY Metropolitan Statistical Area",LAUMT2130460000000,LAUMT213046000000006,"Sep
2017",271600.0
31123,1280,"Baton Rouge, LA Metropolitan Statistical Area",LAUMT2212940000000,LAUMT221294000000006,"Sep
2017",420305.0
31124,1304,"Lafayette, LA Metropolitan Statistical Area",LAUMT2229180000000,LAUMT222918000000006,"Sep
2017",212959.0
31125,1331,"Shreveport-Bossier City, LA Metropolitan Statistical Area",LAUMT2243340000000,LAUMT224334000000006,"Sep
2017",189018.0
31126,1691,"Portland-South Portland, ME Metropolitan NECTA",LAUMT2376750000000,LAUMT237675000000006,"Sep
2017",208480.0
31127,1908,"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",LAUMT2571650000000,LAUMT257165000000006,"Sep
2017",2716607.0
31128,2244,"Bay City, MI Metropolitan Statistical Area",LAUMT2613020000000,LAUMT261302000000006,"Sep
2017",50789.0
31129,2264,"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",LAUMT2624340000000,LAUMT262434000000006,"Sep
2017",571089.0
31130,2277,"Jackson, MI Metropolitan Statistical Area",LAUMT2627100000000,LAUMT262710000000006,"Sep
2017",73758.0
31131,2278,"Kalamazoo-Portage, MI Metropolitan Statistical Area",LAUMT2628020000000,LAUMT262802000000006,"Sep
2017",168692.0
31132,2281,"Lansing-East Lansing, MI Metropolitan Statistical Area",LAUMT2629620000000,LAUMT262962000000006,"Sep
2017",248567.0
31133,2296,"Niles-Benton Harbor, MI Metropolitan Statistical Area",LAUMT2635660000000,LAUMT263566000000006,"Sep
2017",74027.0
31134,2330,"Duluth, MN-WI Metropolitan Statistical Area",LAUMT2720260000000,LAUMT272026000000006,"Sep
2017",144652.0
31135,2333,"Fargo, ND-MN Metropolitan Statistical Area",LAUMT3822020000000,LAUMT382202000000006,"Sep
2017",136984.0
31136,2346,"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",LAUMT5529100000000,LAUMT552910000000006,"Sep
2017",78107.0
31137,2384,"Rochester, MN Metropolitan Statistical Area",LAUMT2740340000000,LAUMT274034000000006,"Sep
2017",121796.0
31138,2421,"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area",LAUMT2825060000000,LAUMT282506000000006,"Sep
2017",163093.0
31139,2431,"Jackson, MS Metropolitan Statistical Area",LAUMT2827140000000,LAUMT282714000000006,"Sep
2017",270677.0
31140,2499,"Columbia, MO Metropolitan Statistical Area",LAUMT2917860000000,LAUMT291786000000006,"Sep
2017",98422.0
31141,2585,"Springfield, MO Metropolitan Statistical Area",LAUMT2944180000000,LAUMT294418000000006,"Sep
2017",229411.0
31142,2603,"Billings, MT Metropolitan Statistical Area",LAUMT3013740000000,LAUMT301374000000006,"Sep
2017",87141.0
31143,2621,"Great Falls, MT Metropolitan Statistical Area",LAUMT3024500000000,LAUMT302450000000006,"Sep
2017",37770.0
31144,2634,"Missoula, MT Metropolitan Statistical Area",LAUMT3033540000000,LAUMT303354000000006,"Sep
2017",62753.0
31145,2707,"Lincoln, NE Metropolitan Statistical Area",LAUMT3130700000000,LAUMT313070000000006,"Sep
2017",179358.0
31146,2948,"Manchester, NH Metropolitan NECTA",LAUMT3374950000000,LAUMT337495000000006,"Sep
2017",117701.0
31147,3048,"Albuquerque, NM Metropolitan Statistical Area",LAUMT3510740000000,LAUMT351074000000006,"Sep
2017",428248.0
31148,3074,"Santa Fe, NM Metropolitan Statistical Area",LAUMT3542140000000,LAUMT354214000000006,"Sep
2017",73435.0
31149,3157,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",LAUMT3716740000000,LAUMT371674000000006,"Sep
2017",1326245.0
