,CBSA,MNAME,APTA_CLUSTER
3716,42700,"Sebring, FL Metro Area",
3721,43100,"Sheboygan, WI Metro Area",Low
3734,43300,"Sherman-Denison, TX Metro Area",Low
3747,43340,"Shreveport-Bossier City, LA Metro Area",Low
3760,43420,"Sierra Vista-Douglas, AZ Metro Area",
3765,43580,"Sioux City, IA-NE-SD Metro Area",Low
3778,43780,"South Bend-Mishawaka, IN-MI Metro Area",Low
3791,43900,"Spartanburg, SC Metro Area",Low
3804,44060,"Spokane, WA Metro Area",Mid
3812,44060,"Spokane-Spokane Valley, WA Metro Area",Mid
3817,44100,"Springfield, IL Metro Area",Low
3830,44140,"Springfield, MA Metro Area",Mid
3843,44180,"Springfield, MO Metro Area",Low
3856,44220,"Springfield, OH Metro Area",Low
3869,44300,"State College, PA Metro Area",Low
3882,44420,"Staunton-Waynesboro, VA Metro Area",
3887,44700,"Stockton, CA Metro Area",Mid
3895,44700,"Stockton-Lodi, CA Metro Area",Mid
3900,44940,"Sumter, SC Metro Area",Low
3913,45060,"Syracuse, NY Metro Area",Mid
3926,45220,"Tallahassee, FL Metro Area",Low
3939,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Mid
3952,45460,"Terre Haute, IN Metro Area",Low
3965,45500,"Texarkana, TX-Texarkana, AR Metro Area",Low
3973,45500,"Texarkana, TX-AR Metro Area",Low
3978,45540,"The Villages, FL Metro Area",
3983,45780,"Toledo, OH Metro Area",Low
3996,45820,"Topeka, KS Metro Area",Low
4009,45940,"Trenton-Ewing, NJ Metro Area",Mid
4017,45940,"Trenton, NJ Metro Area",Mid
4022,46060,"Tucson, AZ Metro Area",Mid
4035,46140,"Tulsa, OK Metro Area",Low
4048,46220,"Tuscaloosa, AL Metro Area",Low
4061,46340,"Tyler, TX Metro Area",Low
4074,46520,"Urban Honolulu, HI Metro Area",Mid
4079,46540,"Utica-Rome, NY Metro Area",Low
4092,46660,"Valdosta, GA Metro Area",
4105,46700,"Vallejo-Fairfield, CA Metro Area",Low
4118,47020,"Victoria, TX Metro Area",Low
4131,47220,"Vineland-Millville-Bridgeton, NJ Metro Area",Low
4139,47220,"Vineland-Bridgeton, NJ Metro Area",Low
4144,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",Mid
4157,47300,"Visalia-Porterville, CA Metro Area",Low
4170,47380,"Waco, TX Metro Area",Low
4183,47460,"Walla Walla, WA Metro Area",
4188,47580,"Warner Robins, GA Metro Area",Low
4201,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",High
4214,47940,"Waterloo-Cedar Falls, IA Metro Area",Low
4227,48060,"Watertown-Fort Drum, NY Metro Area",
4232,48140,"Wausau, WI Metro Area",Low
4245,48300,"Wenatchee, WA Metro Area",Low
4249,48300,"Wenatchee-East Wenatchee, WA Metro Area",Low
4258,48540,"Wheeling, WV-OH Metro Area",Low
4271,48620,"Wichita, KS Metro Area",Low
4284,48660,"Wichita Falls, TX Metro Area",Low
4297,48700,"Williamsport, PA Metro Area",Low
4310,48900,"Wilmington, NC Metro Area",Low
4323,49020,"Winchester, VA-WV Metro Area",Low
4336,49180,"Winston-Salem, NC Metro Area",Low
4349,49340,"Worcester, MA Metro Area",Mid
4357,49340,"Worcester, MA-CT Metro Area",Mid
4362,49420,"Yakima, WA Metro Area",Low
4375,49620,"York-Hanover, PA Metro Area",Low
4388,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",Low
4401,49700,"Yuba City, CA Metro Area",Low
4414,49740,"Yuma, AZ Metro Area",Low
